Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.6159,-4.2104,5.9715,-8.4336,-29.9897,-6.3831,123.4319,41.1252,19.9075,11.6734,-8.3467,-15.4164,-6.3540,-58.0964,-17.4585,-32.1011
7.8125,-1.3654,-8.8647,12.9406,-5.1331,-29.4745,-6.5045,132.9648,40.6648,15.4355,7.7978,-12.4811,-15.6625,-7.1068,-58.2247,-17.2494,-29.6863
15.6250,-4.6380,-17.9066,4.3032,-7.4228,-33.9034,-15.0312,172.1762,50.0182,6.3590,2.8525,-18.8721,-20.3481,-10.0993,-32.2320,-18.6324,-30.8875
23.4375,-10.4620,-20.1592,-4.1243,-11.8980,-40.2547,-19.8595,202.4949,57.5497,1.4830,-1.0227,-23.7279,-24.9893,-8.8993,-16.3399,-19.3259,-34.1264
31.2500,-8.4229,-17.9122,-0.4310,-12.5723,-46.1646,-18.2817,218.7932,58.4906,3.1794,-7.4202,-29.1284,-26.5571,-6.6075,-20.8411,-15.5892,-34.4790
39.0625,-4.8802,-20.7281,-0.5793,-12.1282,-54.2047,-20.3036,234.5809,59.4482,4.2336,-12.0063,-33.1561,-24.6198,-7.6982,-19.1412,-10.4213,-29.5660
46.8750,-7.2554,-24.8072,-5.8267,-15.6372,-57.3448,-20.0839,245.0349,61.7968,4.9572,-10.1903,-32.2159,-18.2408,-5.9459,-27.1283,-9.3992,-24.3843
54.6875,-10.3391,-26.3675,-11.5506,-23.9494,-59.5526,-18.7934,258.5103,70.8094,6.5058,-4.2897,-27.6722,-17.9163,-3.8629,-16.8396,-12.2499,-27.2841
62.5000,-10.4038,-24.6251,-16.2373,-27.1451,-68.8735,-23.4279,268.1188,80.6128,5.9913,3.8865,-23.0759,-23.4049,-7.4362,11.3288,-13.9477,-29.8845
70.3125,-13.6627,-23.3916,-18.8321,-24.0196,-80.1229,-26.3747,289.7746,88.0751,2.7256,4.6415,-24.7344,-26.2841,-9.7436,29.8897,-19.2939,-28.6090
78.1250,-12.8663,-22.0205,-16.9061,-20.2741,-78.8323,-21.8984,292.5018,86.1855,0.6886,4.6243,-26.0032,-21.5958,-3.7472,11.2422,-17.6819,-24.9690
85.9375,-14.6978,-23.5131,-30.5628,-25.7425,-78.6554,-28.1886,320.3603,101.0200,0.9366,15.8029,-22.4600,-27.1329,-3.9113,16.8397,-14.6410,-28.9924
93.7500,-12.1612,-20.9504,-32.0436,-25.6100,-79.1898,-27.5398,310.6112,104.6551,2.6040,27.3665,-16.4846,-31.1562,-3.9275,14.3983,-15.1287,-27.0305
101.5625,-10.8368,-21.8468,-33.9384,-24.5734,-80.7084,-19.9542,339.0947,109.2606,-5.9132,15.8853,-23.5345,-33.0171,-4.3492,32.8351,-26.7219,-28.1174
109.3750,-9.2546,-19.6963,-35.2021,-22.7561,-78.3103,-17.3677,340.3913,109.4036,-15.8589,16.4852,-24.5540,-34.8196,-5.6887,38.2613,-26.9102,-29.7990
117.1875,-15.2658,-18.4350,-38.0652,-24.3678,-75.4724,-23.2147,343.5205,115.6837,-21.7255,29.1732,-20.1394,-38.2047,-6.5341,31.7725,-27.9000,-34.6730
125.0000,-9.7747,-15.4489,-27.8108,-18.9802,-64.9925,-19.8510,325.2978,107.5056,-23.4540,33.0056,-18.1769,-28.2131,2.0822,-16.9910,-27.5324,-27.7793
132.8125,2.2758,-11.3345,-21.8062,-12.8383,-59.8870,-15.2894,307.8470,96.7330,-23.8478,29.7157,-20.1543,-21.1306,5.5710,-50.6893,-19.5161,-18.2364
140.6250,-0.2349,-11.7340,-31.2348,-17.2940,-69.6531,-15.9719,318.3680,104.0616,-18.4215,29.9888,-20.1438,-31.1230,-1.5172,-21.2202,-21.1822,-24.7522
148.4375,0.5002,-4.1779,-21.0959,-15.3030,-63.1909,-6.5174,265.7240,95.2268,-2.3272,45.9446,-7.8699,-25.4688,4.3867,-72.5220,-22.7943,-21.6779
156.2500,-0.3147,-1.5273,-18.0512,-15.9448,-58.3621,-6.3493,252.0132,92.2147,0.9087,53.4580,-2.5302,-16.5856,7.3611,-103.2676,-19.8684,-17.8829
164.0625,-5.4913,-2.6772,-15.0543,-17.1283,-57.8765,-9.8953,244.0479,88.2461,-1.3723,48.8343,-3.5938,-16.5100,3.7477,-81.8362,-15.4505,-18.2863
171.8750,-8.4741,-1.5870,-7.1393,-15.4916,-53.0398,-11.0042,211.3190,79.3657,5.1832,42.6865,-0.6169,-15.0553,4.1976,-59.0085,-20.2012,-21.1477
179.6875,-4.3954,7.0343,0.0412,-15.8642,-44.5651,-15.4703,169.1982,71.3346,10.6257,52.8747,9.5097,-7.7583,8.6596,-85.9729,-18.1381,-19.4405
187.5000,-4.9066,10.3238,1.0710,-21.5789,-38.1502,-18.1822,145.5078,69.4795,4.8344,67.1632,17.5652,-6.1901,7.5876,-99.4000,-9.8188,-18.4836
195.3125,-9.0455,4.0225,6.4977,-17.0247,-25.0906,-12.0054,131.4146,64.1070,-2.8259,65.7808,16.8555,-6.5373,5.8102,-90.2702,-9.6092,-18.7846
203.1250,-10.6037,0.0666,15.0441,-5.4889,-12.7720,-11.3717,128.3181,56.1676,-9.9335,53.0723,8.5531,-8.9901,4.8255,-79.8083,-10.0481,-16.2150
210.9375,-5.8743,1.3195,23.3442,-4.7622,-8.5312,-13.1319,108.0596,45.0394,-17.4334,45.4406,3.5931,-12.9458,7.8192,-76.3012,-1.3085,-6.8454
218.7500,-3.5607,-1.6630,21.0146,-13.4090,-9.5141,-12.8609,83.1565,40.6883,-19.8152,47.3405,9.2699,-10.7037,12.6713,-55.1656,-0.5359,-3.3493
226.5625,-5.2788,0.8075,21.9585,-13.0083,-4.1681,-15.2520,61.4023,38.2916,-18.0424,56.5109,17.7324,-2.3878,15.9440,-68.3789,-2.8128,-9.5184
234.3750,-4.6587,6.0142,34.0901,-6.0134,4.6813,-14.6811,40.3555,29.3756,-21.1794,57.1013,15.5319,-5.3355,16.0791,-92.6193,3.9245,-13.0859
242.1875,-2.9098,2.4051,39.0131,-3.2068,9.3018,-6.3397,25.1310,21.7902,-25.3568,48.9582,10.3978,-13.1274,14.2215,-75.6819,6.1155,-7.8445
250.0000,-5.3864,4.1163,34.4481,-5.4553,11.2987,-4.4477,-3.7326,19.7813,-21.7376,55.1405,20.7521,-6.6370,11.5987,-55.9255,-0.6812,-7.1099
257.8125,-8.1981,10.7545,28.5128,-13.2788,13.5612,-14.2939,-37.5473,19.5545,-19.2425,65.4745,35.2005,-0.2461,8.7874,-28.5907,-4.3990,-14.3827
265.6250,-4.6729,7.3071,23.4195,-18.6591,15.2851,-16.5527,-53.9629,15.6287,-21.6616,60.9611,36.1503,-3.5596,7.9408,5.0444,-1.3624,-11.6614
