Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-5.3406,-15.6350,-18.6007,-7.5726,35.0032,-10.7362,47.8420,11.6173,-15.3831,-6.0201,-8.3236,-9.0868,-6.9862,-6.1284,-4.4526,-18.7878
7.8125,-8.3638,-11.8602,-14.9574,-10.1587,32.5925,-8.4649,41.9013,10.2132,-16.5683,-5.3878,-7.7355,-9.6804,-7.2529,-6.0149,-4.4515,-15.7188
15.6250,-7.2219,-8.3625,-14.4093,-15.0000,29.6376,-6.0028,37.4608,10.9169,-15.0854,-3.6936,-6.1078,-12.2939,-3.0244,-5.8082,-4.6816,-15.8205
23.4375,-3.6912,-9.9348,-17.4371,-12.6003,30.1754,-7.1243,36.8321,10.1675,-13.6984,-4.5146,-7.6189,-15.4074,-0.2263,-6.1809,-1.3626,-16.3548
31.2500,-3.7571,-9.7161,-16.4474,-9.1479,36.9769,-8.1514,30.0032,6.6270,-14.4152,-7.4828,-9.1098,-16.2830,-2.5806,-5.5163,0.2923,-13.9483
39.0625,-3.2563,-6.3198,-15.6873,-10.8058,46.0208,-7.7263,22.4363,6.7569,-14.0316,-6.5377,-6.4926,-17.1048,-1.1978,-5.7502,-3.0490,-14.0490
46.8750,-1.2704,-5.9197,-18.0067,-8.6816,45.2091,-7.8388,19.3523,7.8985,-11.2488,-3.5456,-4.9516,-19.2663,3.9267,-6.5116,-3.8620,-14.3905
54.6875,-1.6337,-5.4614,-14.7615,-4.0126,39.5358,-8.2873,10.3811,3.8411,-9.8797,-4.8342,-6.5854,-21.2196,4.9722,-2.9741,-1.2647,-9.0930
62.5000,-1.4945,-4.4527,-9.8421,-3.4559,46.8968,-9.0000,2.6765,0.0840,-11.1346,-9.2088,-8.4693,-23.7750,4.8677,-0.4609,-0.7328,-5.2248
70.3125,-0.9524,-7.1043,-10.7607,-2.8899,58.2701,-6.7260,3.0840,0.0878,-10.5484,-11.1533,-8.9057,-24.4331,6.1228,-4.2101,-2.7568,-6.5091
78.1250,-3.4291,-8.1574,-10.8549,-3.2652,55.8322,-3.3818,-3.6060,-0.5475,-6.9870,-8.7381,-5.6066,-19.6355,6.8955,-4.4026,-4.6639,-7.3617
85.9375,-6.4106,-6.7904,-11.3251,-7.4979,49.5562,-7.0367,-13.7388,-2.3901,-4.4959,-6.3264,-1.8173,-14.7396,10.5198,0.1932,-1.5407,-10.1683
93.7500,-7.4378,-9.3613,-17.3933,-9.9626,48.8200,-9.4859,-15.5242,-4.5346,-4.5348,-7.4308,-2.4737,-13.2512,14.1896,-0.9822,4.8354,-15.7730
101.5625,-4.6878,-12.4856,-17.7498,-9.2808,46.7911,-5.0731,-18.9605,-7.5141,-6.5654,-9.3410,-3.9625,-11.9950,11.4224,-2.8783,5.3651,-15.2483
109.3750,1.2473,-11.3181,-10.4733,-8.0624,45.6121,-7.8971,-24.7281,-9.6580,-8.9969,-11.0633,-4.2518,-12.1408,7.6972,0.8380,2.3833,-11.3481
117.1875,1.9318,-8.1610,-10.7843,-7.4819,46.6693,-13.2994,-24.4808,-10.0879,-8.6785,-13.2912,-5.1536,-13.3343,7.3156,1.3426,1.7083,-14.7383
125.0000,-3.5766,-4.5714,-11.7784,-8.0960,42.1934,-10.0318,-26.5604,-12.0341,-9.0654,-15.4218,-6.5343,-13.3501,5.0456,0.4639,0.3569,-15.0909
132.8125,-7.3884,-1.0457,6.8486,-4.1882,38.5817,-12.6604,-35.8711,-19.9192,-16.2622,-22.6480,-13.3275,-19.1178,-0.6427,5.6854,0.6812,3.3446
140.6250,-9.8753,1.7812,30.8277,3.8806,44.1060,-20.4783,-42.9822,-29.6996,-24.9303,-34.3789,-24.8443,-30.9703,-5.8946,7.1057,3.2462,25.2549
148.4375,-11.1870,3.9987,33.3852,4.3805,48.0258,-18.9336,-44.7012,-31.9159,-26.9000,-38.1317,-28.2309,-35.8653,-6.4212,2.2218,1.1786,28.7723
156.2500,-8.8970,3.8519,25.3323,0.5827,41.9969,-18.7100,-46.3265,-30.9977,-25.5716,-36.1549,-25.6668,-33.1079,-3.4205,3.1961,0.2875,23.7621
164.0625,-8.6541,0.7271,23.0538,3.0843,29.7860,-21.5791,-50.0543,-35.2904,-25.6872,-38.3593,-28.3197,-32.1507,-3.5581,7.1401,5.5788,23.6003
171.8750,-10.0990,-2.4228,14.5260,3.0305,14.9228,-16.8296,-53.1161,-36.7148,-23.7016,-36.2763,-28.2495,-30.6198,-3.9613,6.6162,7.0854,20.5068
179.6875,-7.9701,-2.5304,1.9172,-4.5823,2.4093,-15.8631,-52.7077,-31.6883,-19.5082,-28.1551,-21.6024,-26.1926,0.6605,5.8287,3.8138,13.1119
