Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,4.7197,-95.6182,18.6306,12.3278,12.5894,-5.9649,2.6216,-14.4926,-5.0379,-6.2940,-13.1827,7.8715,5.5184,-1.7004,7.1828,24.9224
7.8125,4.8529,-103.8868,12.4289,8.4836,10.0057,-7.3497,2.9663,-17.6378,-7.4041,-8.4025,-15.0317,10.5876,7.8820,4.5239,20.1956,19.5915
15.6250,9.1182,-106.5072,9.6040,7.4407,14.8737,-5.6885,3.6349,-18.3471,-1.9815,-12.7128,-15.5149,12.4844,7.3410,-3.5104,15.9663,12.4673
23.4375,14.3216,-97.5427,15.2604,13.2052,16.9412,0.3415,3.4320,-16.2650,1.8385,-12.8925,-16.3263,5.2679,1.9168,-10.1884,8.7673,8.5840
31.2500,12.5930,-92.0560,18.2860,16.0457,11.9274,2.0863,-1.3558,-14.8117,-5.7227,-6.9270,-14.7573,0.2290,3.9812,5.9272,12.7077,4.0301
39.0625,8.1539,-98.5836,14.9903,9.6471,11.2463,0.2759,-4.5070,-18.1110,-11.8861,-6.1394,-14.7044,5.1415,9.1898,4.0045,20.1907,4.7322
46.8750,13.5415,-91.9642,10.4781,0.3506,15.0135,1.8981,-5.2168,-13.3539,-10.3793,-0.2159,-9.8079,4.6039,8.4215,-23.5701,5.0959,6.5393
54.6875,16.3541,-79.0566,7.1913,-0.5830,9.5968,2.1432,-5.8471,-10.5663,-12.4375,4.6378,-8.8366,-2.2153,7.8765,-26.2346,8.3636,2.9761
62.5000,7.0274,-73.8987,5.9132,0.4595,3.8107,-3.7598,-5.0248,-12.1597,-15.8020,2.4369,-10.3990,-1.9802,7.3365,-5.7610,18.7620,-1.0865
70.3125,3.7986,-77.0302,11.7146,-1.4930,7.2394,-4.6527,-4.6566,-18.8387,-15.5561,-11.9052,-16.8275,0.2886,1.6336,-2.4380,15.5415,6.4513
78.1250,9.3627,-77.5199,13.2938,-4.9582,7.4821,-0.0922,-10.5475,-17.2927,-17.4905,-5.2502,-13.6418,-1.9450,1.6441,-6.2490,17.6897,5.2338
85.9375,8.7986,-80.4636,4.2512,-8.9010,2.6158,1.2290,-12.1580,-7.5759,-20.1001,17.4188,-2.2230,-1.1318,10.1764,-3.8909,24.7551,-5.1377
93.7500,4.4767,-79.2890,-0.1839,-13.5921,3.5008,-1.9680,-7.1660,0.2610,-18.0606,26.9642,3.4633,-2.4531,11.1907,-10.7975,14.1584,-2.8785
101.5625,3.8178,-65.6529,3.8014,-12.9050,9.9777,-5.1699,-7.9209,6.5601,-18.4641,31.7059,6.9045,-10.4721,2.4897,-11.2056,-1.8339,1.0823
109.3750,0.7117,-49.0846,1.1996,-10.4529,10.3831,-5.1736,-10.5224,16.4444,-21.2081,46.8152,16.1201,-15.4500,-4.9504,7.4518,-2.4515,-8.7015
117.1875,-4.9909,-40.3623,-6.1178,-18.5706,4.5401,-5.2767,-8.2641,27.0440,-18.1401,61.8814,26.4075,-15.4066,-5.3287,14.7256,-3.5921,-17.7851
125.0000,-9.8245,-28.0644,-5.7316,-26.4069,3.6675,-10.5402,-7.0372,27.8154,-16.5224,59.4471,26.6322,-16.3305,-4.3364,4.7525,-9.5154,-12.8274
132.8125,-12.3441,-13.9053,-4.2221,-22.8271,9.5092,-12.3163,-8.3057,32.8139,-19.7081,64.5786,31.2933,-17.6138,-9.3496,10.1418,-20.6384,-8.3745
140.6250,-10.9874,-2.3963,-8.9001,-21.7888,8.6023,-5.3856,-6.1777,40.4955,-17.3566,71.4030,37.3985,-19.0154,-13.1682,21.0952,-28.3784,-4.3259
148.4375,-6.5497,6.1434,-12.1393,-32.4261,3.3394,-3.1085,-5.5257,48.2867,-11.6290,84.1207,46.0175,-17.8275,-7.4683,2.7001,-30.4066,-3.7311
156.2500,-6.8283,13.5101,-12.5102,-37.3349,5.4104,-6.4347,-6.0704,50.0251,-12.6461,86.9324,49.6041,-13.3295,-3.5020,-13.5031,-39.6722,4.8423
164.0625,-10.9925,11.9499,-12.8139,-33.8517,7.5905,-4.8224,-4.7648,49.7150,-17.3535,83.9667,48.1779,-13.6158,-9.7882,2.4740,-45.6638,18.2635
171.8750,-9.1896,15.0358,-14.1084,-34.7352,3.9766,-4.0058,-3.2144,52.3010,-18.3857,87.8530,49.4772,-16.3514,-12.2129,9.3962,-40.6221,19.3057
179.6875,-1.7502,14.7132,-16.6577,-35.1967,3.6140,-6.2136,-2.3002,51.3949,-17.3598,89.9661,50.4762,-10.9345,-5.1938,-11.4203,-36.5864,20.5935
187.5000,-4.0361,18.2761,-20.0927,-34.6608,2.0546,-5.5314,-5.7055,45.4061,-17.9220,82.0726,46.9301,-7.3889,-2.5289,-9.2012,-30.6405,31.8725
195.3125,-13.7773,30.7504,-21.6030,-36.7430,-4.7437,-5.6816,-7.0744,39.1698,-17.8682,69.3304,39.8271,-12.0208,-7.8103,16.3255,-13.4137,33.9478
203.1250,-7.9016,23.0206,-21.5765,-35.1715,-4.9371,-1.5878,0.3116,36.4135,-12.7874,59.1973,34.6555,-10.2994,-7.2847,14.5052,-13.9308,30.3991
210.9375,2.5018,21.6845,-20.0864,-30.5593,-1.5740,5.1059,3.4549,31.7391,-12.6776,48.6518,29.4951,-6.7759,-0.7676,-1.3403,-21.8704,37.2852
218.7500,-3.0417,33.6245,-13.1516,-29.0574,-1.8547,-0.4062,-1.1329,31.1573,-18.1470,48.3043,28.4794,-12.8948,-3.0200,9.4610,-22.7080,48.4390
226.5625,-11.5436,37.2949,-1.9927,-28.6689,1.1671,-12.3239,-0.5609,30.2406,-20.8016,43.0660,25.1470,-18.5904,-12.7683,21.4765,-29.6206,59.9018
234.3750,-8.8416,31.0921,3.7019,-29.6819,2.0977,-8.9115,0.6054,27.5556,-17.4172,36.2940,22.2963,-16.3899,-15.7614,10.8794,-39.5171,64.7760
242.1875,-8.5214,28.0000,2.4984,-28.9637,-5.4729,-3.1603,-2.6765,20.4303,-17.6812,29.9731,16.8954,-15.0995,-15.2459,8.5396,-27.1530,66.9756
250.0000,-12.9473,22.9465,3.2086,-27.7599,-6.0932,-11.2271,-2.5574,19.3902,-18.0863,29.3756,14.7305,-18.7984,-19.0685,21.2049,-20.2438,76.5085
257.8125,-11.3852,20.2818,2.0459,-31.4392,-1.8746,-15.1449,-1.5192,28.7293,-12.5961,43.7052,24.0326,-18.5701,-17.7005,13.9373,-28.3102,77.1039
265.6250,-6.5843,20.8307,-5.7012,-31.2709,-8.8279,-7.9896,-2.3760,29.0897,-10.3002,50.4469,28.3049,-9.0199,-9.7482,-2.9475,-20.6548,66.0883
273.4375,-7.0214,19.0692,-10.1650,-25.2975,-15.5819,-8.2377,-2.5872,20.6285,-14.4974,41.6608,22.2361,-2.3044,-7.5638,1.5014,-6.3803,66.3625
281.2500,-9.1347,13.7240,-7.6159,-25.3417,-10.4780,-11.0591,-3.6119,20.8183,-13.5208,41.1059,21.9681,-4.7134,-6.3339,7.9378,-7.8397,73.8176
289.0625,-4.6434,-0.5165,-6.0996,-26.7046,-8.6438,-3.5689,-2.3251,18.1635,-9.5443,38.6731,20.5231,-0.1998,2.0343,-1.3900,-2.9429,72.6126
296.8750,-0.5685,-2.1575,-10.7400,-28.8717,-17.9688,-0.2154,-0.3655,12.4896,-11.0161,32.3874,18.4337,11.0817,10.0873,1.4107,13.3052,62.4167
304.6875,0.6866,-9.3846,-12.4363,-27.6684,-21.7538,2.1827,-0.4676,2.8639,-11.9356,18.5701,9.8413,13.6967,12.3381,9.6438,28.9929,61.8482
312.5000,3.9162,-25.3882,-14.3462,-21.6194,-15.7201,11.7243,-0.9079,2.9423,-4.6244,17.7675,8.2362,10.5380,10.8217,-1.0985,17.8326,58.4945
320.3125,3.1601,-33.2604,-17.5000,-18.6096,-17.1025,13.0177,0.4273,3.2316,-2.0012,19.9890,8.9750,13.8563,7.5585,-4.6489,17.2995,54.9712
328.1250,-1.6892,-49.4641,-16.7276,-22.9167,-24.4636,6.9944,-1.0973,-2.7093,-6.4335,18.9467,6.2072,19.0630,10.5587,10.8778,40.7886,62.4190
335.9375,-0.2505,-50.3066,-18.8002,-25.2938,-20.2450,10.9069,-3.2449,-4.2728,-5.0672,14.3855,4.4538,16.4425,17.0202,8.7801,36.9844,68.0244
343.7500,5.7412,-52.5816,-23.0493,-20.2865,-12.2462,18.7780,0.3944,-1.2040,0.5645,15.2543,4.5997,13.6200,15.9072,-11.1242,22.8521,69.5992
351.5625,6.4372,-37.7106,-25.4046,-23.4252,-17.4488,15.3287,0.2833,5.5607,-0.9459,25.3807,11.8443,14.1592,14.7892,-10.2701,19.1525,62.8479
