Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,0.2808,2.6626,-1.3732,4.8050,47.6433,19.4702,-17.8915,-5.2474,-14.6259,-0.8362,7.8466,19.3688,6.4810,6.6071,7.9223,-6.6198
7.8125,-4.1259,4.9774,2.1362,10.2560,49.1810,19.2743,-20.9890,-8.3928,-19.2366,-2.4150,5.6573,19.6306,4.5621,4.7560,7.2462,-3.0704
15.6250,-6.4712,3.2774,1.2449,13.0667,47.4205,21.2268,-23.2642,-10.4638,-19.6673,-3.4654,5.1648,22.6785,7.3130,0.6133,2.9950,1.2849
23.4375,-2.7809,-1.8176,-3.2269,5.0167,44.7598,20.7204,-23.4171,-9.6001,-16.7752,-3.3511,7.2665,25.1003,15.6607,0.9875,2.6951,-1.0071
31.2500,-3.5793,-1.6829,-2.1497,-2.7472,44.9543,17.6613,-27.9354,-11.1665,-19.1924,-4.2374,7.5725,24.1860,17.4519,9.3488,10.2339,-1.4173
39.0625,-6.4879,3.6592,1.4061,0.5017,45.5058,17.3017,-36.0161,-16.0716,-22.6021,-7.0669,5.1011,22.7444,11.8329,15.5218,18.3612,5.4973
46.8750,-2.9399,5.4812,0.7007,4.8018,45.4978,15.8340,-38.6546,-19.6813,-21.9483,-11.7975,1.9189,21.6528,9.9159,13.9450,20.8875,9.1267
54.6875,-3.1475,4.8659,1.2865,4.9113,47.1189,12.3587,-36.9685,-19.3956,-23.5088,-12.3527,0.8312,19.4531,10.8110,11.2187,17.6471,9.7108
62.5000,-10.1662,6.3760,7.0758,5.6251,50.2147,13.0086,-36.8129,-18.0696,-27.3089,-9.4223,1.3810,17.6450,8.7273,10.9785,13.7250,13.2429
70.3125,-9.3764,5.6158,11.0717,3.9984,53.8246,14.0928,-35.8657,-18.2883,-27.2031,-11.7306,0.4200,16.5426,7.4128,10.7353,12.5561,13.2267
78.1250,-2.0452,3.2007,7.5710,0.9454,55.8907,13.6465,-32.1991,-17.1294,-24.7437,-14.3426,0.1700,16.2627,9.6211,6.6707,8.6897,8.3468
85.9375,-1.5341,5.0792,3.3070,2.4761,54.6135,16.1781,-27.6658,-13.3009,-24.6573,-9.7583,3.1117,18.9891,10.6380,0.7676,2.4465,5.1058
93.7500,-6.2751,6.0517,6.0828,4.6880,52.9910,15.3837,-25.2489,-11.8291,-27.7910,-5.5883,4.5861,21.6145,7.3540,1.2771,3.1388,4.1713
101.5625,-6.7956,1.2466,5.7577,4.7669,53.2724,10.4441,-28.6365,-15.6465,-29.6224,-9.0068,1.9939,21.4046,3.9505,4.8265,7.5738,3.4066
109.3750,-1.3064,-2.4100,-3.5328,5.0616,53.1980,11.6867,-31.4185,-18.7373,-26.9359,-14.3404,-0.2819,21.3635,2.9194,3.5229,7.5615,-0.2161
117.1875,0.7577,-2.1139,-4.8332,2.2818,52.2963,12.5754,-28.3817,-18.7136,-28.0473,-16.5197,-1.7645,20.0039,-2.0631,5.5015,9.7718,-4.1135
125.0000,-8.6513,-0.6009,5.3677,-0.9474,52.2844,5.4549,-32.1252,-22.6335,-36.7609,-18.3020,-5.6884,14.9699,-10.0135,13.1150,18.1537,1.6350
132.8125,-17.0815,2.5223,12.1317,3.1016,52.8751,1.9504,-42.6514,-28.4243,-42.0848,-19.8825,-9.0533,10.8923,-10.6068,15.2757,22.7223,12.5073
140.6250,-11.4591,3.4583,13.9944,6.4760,51.0364,3.8778,-44.0182,-28.7813,-42.1217,-19.7202,-8.9169,11.3334,-7.6739,14.0170,21.1753,15.1725
148.4375,-3.9284,0.3867,13.2642,1.3150,44.8037,2.3496,-43.3300,-27.9916,-41.6873,-18.8410,-7.2490,14.1640,-8.5708,14.6977,20.8942,13.9973
156.2500,-5.5590,-0.1618,9.1896,-2.8268,37.9715,0.5962,-50.2018,-30.2360,-37.4380,-19.2683,-6.3007,15.8722,-7.8580,14.0681,22.1320,15.5040
164.0625,-7.1417,0.0971,9.0573,-1.4464,31.3116,0.9292,-52.8185,-31.6278,-34.2833,-20.1332,-6.8241,16.0449,-7.2004,14.8522,21.7871,14.7395
171.8750,-4.5751,-3.6916,11.0956,-1.7889,20.4040,-0.4980,-51.5058,-30.3812,-36.8242,-15.6128,-5.7508,16.9194,-10.2993,17.0919,21.6368,13.1749
179.6875,-6.1435,-5.5038,8.0097,-4.9414,12.8141,-2.5220,-52.6788,-29.3999,-35.6281,-11.6643,-4.2814,16.5492,-9.6349,15.6522,22.3392,14.6654
187.5000,-10.3982,-4.8116,7.9007,-4.6190,15.6147,-3.0896,-46.7699,-28.7584,-33.0181,-15.5159,-7.5416,11.5988,-7.6095,13.1997,19.9191,16.0256
195.3125,-8.1315,-8.1203,12.0219,-0.6235,15.3690,-0.4221,-36.2948,-25.5820,-35.5384,-14.5860,-9.5253,8.5488,-10.8178,9.8695,14.3397,14.3495
203.1250,-3.1408,-10.7482,8.5385,-0.9751,6.8965,3.8704,-30.3090,-21.0911,-33.6915,-8.4207,-6.1108,12.0268,-13.0759,6.5717,11.6897,8.5355
210.9375,-4.5346,-7.9071,0.2868,-4.6891,2.6799,2.6683,-21.5579,-16.6219,-29.5347,-7.2161,-4.7068,11.8618,-12.5910,9.2634,11.5235,4.9508
218.7500,-7.8906,-7.1309,-3.5433,-3.0275,0.9237,-1.7816,-13.6938,-13.2614,-32.3527,-4.3629,-5.9172,6.6790,-11.7900,9.1486,9.4385,9.1409
226.5625,-5.7863,-10.8314,-2.3513,-0.3941,-6.7171,-3.0860,-15.1622,-14.5751,-31.9354,-2.3746,-6.4549,7.4979,-9.7590,2.5563,9.7761,10.0473
234.3750,-1.2135,-11.7108,-0.5099,-3.8825,-15.9204,-4.8312,-13.8570,-16.6427,-26.5265,-7.5414,-8.3888,8.9609,-11.9677,4.8119,14.2994,4.6667
242.1875,1.8485,-9.0964,-5.0134,-7.6193,-22.8616,-6.9925,-8.7166,-15.5700,-27.8828,-9.6381,-10.8792,3.6614,-17.1465,10.8281,16.2077,6.3927
250.0000,1.2184,-6.3579,-4.0989,-5.5313,-24.5660,-7.1148,-11.4400,-18.6722,-30.8878,-12.6793,-14.3078,0.2561,-17.7072,7.6220,15.3468,16.3226
257.8125,-7.2121,-3.2384,20.1783,0.9071,-19.6717,-12.1510,-15.4308,-27.4120,-32.2366,-25.2522,-22.4572,-1.2017,-20.7679,7.4617,16.0047,30.8678
265.6250,-15.4918,-2.9471,44.7689,4.8473,-18.8859,-20.2841,-14.4112,-31.9178,-38.3390,-31.4098,-29.2399,-6.3711,-26.9200,13.0969,16.8234,48.7350
273.4375,-10.3859,-6.0065,42.0595,1.8989,-24.1957,-20.8606,-11.0034,-29.6590,-40.6641,-28.0726,-28.7041,-8.2786,-25.8689,12.4886,16.1871,54.7229
281.2500,-3.1992,-4.4901,29.2432,0.2726,-24.7441,-17.0048,-3.3447,-27.1775,-35.8253,-30.8669,-28.0852,-5.4076,-25.2755,10.7363,15.1924,43.7361
289.0625,-8.3156,-0.3264,23.5789,3.9340,-24.2366,-15.7920,2.2324,-25.2061,-34.8544,-30.4863,-28.2307,-5.2245,-28.4075,11.4029,15.5135,32.1384
296.8750,-11.8179,-2.2479,19.0055,2.4722,-27.5686,-17.2158,0.2077,-22.1849,-35.4415,-21.4401,-24.4816,-6.2329,-24.6493,9.1924,17.6872,25.1876
304.6875,-5.5402,-4.4548,16.6114,-2.9503,-26.3927,-21.1439,-0.2826,-21.4132,-33.1938,-22.0653,-23.3311,-6.5705,-20.9676,9.1252,17.9808,21.8449
312.5000,-2.2786,-2.2822,16.6071,-4.4866,-22.5557,-22.5387,1.3626,-20.9000,-32.3429,-25.3189,-24.4518,-9.6031,-21.0823,11.2431,15.9759,24.4353
320.3125,-1.5497,-2.9480,10.9375,-10.0537,-21.8920,-19.0130,-1.4363,-17.5216,-29.5641,-19.1762,-20.3588,-11.6238,-14.6352,10.7111,17.6097,22.0886
328.1250,3.2572,-2.6947,5.6686,-18.9199,-20.4013,-20.0040,-4.6356,-15.6816,-25.2943,-18.0197,-16.7768,-11.3449,-9.7453,13.8753,20.0701,14.8702
335.9375,5.4444,2.7756,8.1202,-18.9640,-20.3522,-25.3286,-4.7217,-16.4494,-25.9798,-22.3315,-18.9894,-15.4023,-12.5360,18.0097,17.2237,18.3665
343.7500,5.1971,2.8660,9.7906,-15.1682,-22.2646,-25.5336,-0.2219,-15.7973,-27.3204,-22.8277,-22.4179,-22.0222,-11.8559,13.2019,13.7347,22.2093
351.5625,6.9760,-0.6496,9.5099,-11.3781,-17.4220,-24.2676,9.9487,-13.4236,-29.1019,-23.7045,-25.5355,-26.8451,-12.0926,7.5767,10.8831,15.1807
359.3750,4.0529,1.0072,13.2678,-3.3514,-11.5454,-25.0839,17.0323,-12.8426,-36.4638,-25.3056,-29.6345,-31.7285,-20.1504,7.7213,6.6874,13.8518
367.1875,-0.6189,-0.0235,13.7923,0.6113,-13.5222,-21.9074,18.1145,-13.7664,-40.6778,-24.1839,-31.9158,-33.8246,-25.7278,5.4761,6.7491,18.1608
375.0000,2.4924,-4.5617,9.4438,0.6533,-13.6974,-17.9638,19.8716,-12.9690,-39.1283,-22.2222,-30.5619,-30.3296,-26.8107,1.5298,8.5972,14.2186
382.8125,5.0768,-4.1757,11.9093,6.9465,-9.9434,-19.1881,19.6315,-13.9250,-41.8504,-22.6643,-30.3320,-26.3991,-28.3175,1.5689,7.5263,10.4993
390.6250,2.1253,-4.4499,16.2269,11.0843,-12.2995,-20.2295,17.8683,-16.9610,-44.6570,-23.9031,-32.3246,-25.0704,-27.5003,2.1271,11.1231,11.6097
398.4375,2.6649,-8.0757,11.3755,7.5660,-13.9736,-19.6081,21.5387,-15.9266,-43.2078,-22.8860,-32.0274,-24.2585,-26.0911,2.1622,16.7742,8.9853
406.2500,5.6803,-7.5282,10.2089,9.0927,-7.8475,-21.1203,26.6296,-14.9513,-45.4290,-24.9299,-33.0382,-24.4310,-28.1647,1.7833,14.9759,7.0363
414.0625,6.2739,-4.6696,18.3884,15.3070,-6.5941,-21.6191,32.5375,-16.2692,-46.9444,-30.1402,-37.8674,-27.4066,-31.0427,-2.6210,12.1777,8.1040
421.8750,6.2809,-5.2247,17.5045,14.2569,-11.8782,-20.9317,42.4677,-11.3543,-42.0217,-27.2642,-37.2033,-29.4123,-30.9970,-5.7282,10.2376,5.2692
429.6875,4.7572,-7.2178,11.1927,10.2908,-9.9414,-22.6397,46.3674,-4.3165,-38.7017,-19.3125,-30.9284,-27.8635,-28.2553,-4.0550,3.3412,4.7813
437.5000,2.7312,-5.9560,17.4971,13.8160,-3.8889,-23.2675,42.6676,-5.5163,-37.3863,-20.3030,-31.3357,-28.8681,-30.1460,-6.3587,0.8118,10.8473
445.3125,2.5625,-2.0146,24.8319,20.2951,-2.9763,-22.8349,43.0962,-8.1580,-35.6333,-24.5249,-35.9842,-33.6399,-38.0227,-8.6515,5.5128,13.8913
453.1250,-0.4642,-2.0723,20.8897,19.9912,-2.4380,-25.9425,45.9756,-5.4728,-37.5863,-21.1751,-34.3821,-34.1161,-39.9384,-0.4456,6.9788,15.5386
460.9375,-6.9472,-4.5664,17.3828,14.8091,-2.2864,-29.5019,44.5809,-5.0277,-37.3478,-19.4310,-32.1217,-31.2927,-37.2702,7.5185,10.4255,21.3227
468.7500,-10.6651,-2.4277,20.2064,13.8110,-6.3844,-31.8525,41.8685,-6.9761,-30.9707,-21.1222,-33.2086,-32.1745,-39.9915,6.6467,17.1442,23.0412
476.5625,-9.9970,-3.5598,21.5520,16.0018,-7.1713,-34.2950,41.2722,-4.6072,-26.5273,-17.2820,-30.0644,-30.1293,-41.2351,4.4730,12.8044,17.6028
484.3750,-6.0136,-11.3558,15.0379,13.1921,-6.0025,-31.7879,44.3205,-1.4923,-22.2309,-14.6735,-24.9034,-20.4151,-38.8350,0.9864,4.8229,11.6962
492.1875,-1.6816,-11.1590,8.0707,9.9386,-10.6515,-27.2976,48.3645,-0.9050,-16.3694,-17.0589,-24.7324,-17.4124,-38.9022,-2.2829,6.5726,8.7941
500.0000,-1.9839,-4.4696,14.7105,14.8369,-9.7267,-29.8108,48.2436,-2.2677,-18.5344,-20.7327,-28.4916,-24.3289,-35.9748,2.1714,7.2250,10.5431
507.8125,-2.5355,-3.4612,24.3316,20.1445,-1.2221,-32.0803,49.8209,-4.5117,-22.0950,-26.8487,-31.9279,-25.2951,-33.7004,4.2015,2.9924,13.4087
515.6250,2.8083,-3.4671,19.3994,17.1244,-3.6912,-28.0831,57.4971,-2.2066,-15.3545,-28.4483,-31.2372,-21.5109,-40.2071,-4.2576,1.0940,9.5373
523.4375,6.9023,-2.5419,15.0711,13.3569,-11.4792,-27.8399,60.2335,2.2825,-8.8758,-24.1458,-28.5949,-23.9689,-43.7885,-9.8186,-4.0180,2.8542
531.2500,3.6676,-3.5411,21.2233,15.0542,-10.5566,-32.4369,55.8722,3.2178,-8.8726,-21.1685,-27.2637,-27.2058,-41.1555,-6.9280,-9.6112,2.9258
539.0625,-2.2101,-1.1086,19.0913,13.8495,-14.0258,-35.4160,55.8898,4.9567,-7.9544,-16.4493,-25.3255,-27.6337,-40.1687,-2.6338,-3.3507,6.6335
546.8750,-5.9037,0.3916,9.9766,6.3396,-23.2167,-39.0439,59.2174,7.6789,-6.3916,-12.2931,-24.3832,-31.4083,-33.5512,1.0993,5.1417,7.9920
554.6875,-6.5138,-5.0842,9.2579,2.7392,-21.7022,-43.0385,57.6122,7.5556,-3.3770,-13.7644,-25.1268,-35.6422,-23.1710,2.6466,3.4193,8.2827
562.5000,-7.4841,-8.5264,9.8380,6.1406,-17.4264,-45.3198,54.5128,7.6899,2.0567,-12.7835,-23.8530,-35.3726,-19.8683,1.2957,1.9759,6.9962
570.3125,-10.0584,-6.7505,6.7833,8.0510,-20.6228,-46.8864,54.7055,8.0225,1.7260,-9.9777,-23.5646,-35.9521,-15.3847,1.1433,7.1182,5.3287
578.1250,-8.3435,-5.5996,5.8767,3.3991,-21.1115,-44.5816,54.6955,6.0320,-0.8435,-15.0702,-27.3075,-41.7575,-9.5005,4.1753,9.8342,8.8033
585.9375,-3.8734,-5.5776,4.9186,-3.1361,-19.0655,-42.6157,54.4612,6.1825,3.7357,-20.8078,-30.1613,-50.9010,-11.1357,8.2195,7.7688,12.7788
593.7500,-3.8406,-6.4024,4.3543,-3.0207,-19.9751,-47.3758,56.5608,8.9566,7.8599,-19.0549,-30.6140,-58.3262,-9.3853,7.3326,4.9659,8.5111
601.5625,-4.2814,-7.6962,6.6089,1.1889,-16.9407,-47.7045,54.2768,7.7500,7.8959,-19.5273,-31.2432,-58.5314,-4.5257,0.7477,0.9217,2.1106
609.3750,-2.0273,-8.1716,8.2967,0.9332,-12.8388,-40.6741,46.1435,4.8720,11.6056,-23.4702,-30.7678,-55.9765,-8.4886,-2.9226,-5.7583,2.8478
617.1875,-2.5898,-8.2698,8.3992,-0.9200,-16.3006,-41.2087,41.7688,4.9607,14.2479,-22.2377,-29.3242,-56.4254,-8.2283,-3.3031,-9.8946,5.3326
625.0000,-3.9407,-4.9756,7.0551,-2.2780,-20.8177,-46.5756,38.0762,4.4468,11.7732,-18.5072,-27.5145,-54.8856,0.1904,-4.3824,-4.9480,4.8182
632.8125,-3.4124,0.9928,7.5183,-5.3847,-21.1207,-45.9785,29.6700,4.5070,15.2179,-14.9707,-23.3024,-52.5481,0.2025,-2.2817,0.4641,6.4434
640.6250,-6.7209,2.2784,10.0187,-4.6478,-22.1275,-44.0955,27.2183,7.1360,24.4263,-12.3435,-19.9484,-52.2739,-1.7535,-1.6370,-5.1142,4.9738
648.4375,-9.8553,1.2946,3.4191,-3.8962,-26.8966,-41.3689,30.6469,8.0684,26.8124,-12.0227,-18.7137,-47.1512,4.2416,-7.3255,-10.7683,-5.3251
656.2500,-6.8964,2.7398,-7.4087,-11.1588,-35.7131,-37.2109,28.8175,7.5911,23.1953,-10.0445,-16.5418,-42.2656,9.3372,-9.6748,-8.1324,-9.0929
664.0625,-6.4890,2.9786,-5.6623,-12.7706,-44.4501,-40.3029,26.1667,7.1618,22.2645,-8.4514,-16.7040,-44.5312,13.6543,-10.2504,-10.4027,-3.2408
671.8750,-8.4495,4.9319,-0.0515,-4.9013,-47.5140,-43.6224,26.9379,7.1509,25.1326,-8.4002,-17.4495,-44.7899,18.5470,-17.0307,-17.4992,-7.6133
