Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-4.9123,-12.6614,-7.1848,-6.4715,-6.0044,-5.1029,26.8767,0.6099,-8.4286,-13.2486,-12.1535,-7.5984,-5.5913,1.2800,-13.6493,22.0547
7.8125,-2.3131,-10.8012,-8.7102,-10.6798,-7.4707,-7.6436,24.9021,1.8463,-5.7215,-11.9677,-10.7348,-9.9246,-2.5995,1.3879,-13.4795,25.1115
15.6250,2.8183,-17.3065,-3.1620,-5.7879,-1.4596,-6.9904,20.3434,-6.9651,-6.4193,-25.4934,-17.8852,-9.1004,-0.5091,6.6595,-8.8359,29.3341
23.4375,4.8882,-20.3907,4.1827,-0.9000,2.1196,-4.8032,14.4889,-15.4263,-9.6851,-35.5384,-23.0212,-4.7278,-2.2898,9.0193,-4.0276,31.9460
31.2500,4.2688,-12.8289,-3.8806,-8.0003,-3.6252,-4.0004,14.2646,-9.0661,-6.2491,-25.1257,-15.1064,-1.4616,-3.1648,4.2055,-5.4641,24.4839
39.0625,2.3888,-10.4474,-18.3302,-10.3174,-5.6382,-3.0051,22.0897,-0.6159,0.5950,-17.1280,-10.2407,-3.6101,-4.8889,-1.0097,-12.3265,15.4077
46.8750,1.5213,-13.1312,-24.0362,-5.8821,-3.0963,-3.1503,19.0264,-3.5622,3.6234,-22.2965,-13.3447,-5.9497,-9.1513,-1.3158,-16.3668,19.5113
54.6875,2.5460,-11.1112,-26.7421,-10.5883,-4.2237,-2.2192,9.6696,-6.4864,4.5359,-23.6822,-11.9281,-3.5905,-10.5114,2.2641,-13.1557,22.4988
62.5000,0.1080,-10.5189,-31.1359,-7.9497,-5.2870,1.3729,11.6575,-5.2413,3.0059,-20.7812,-11.7773,-4.6844,-11.2463,3.2759,-9.7662,15.2503
70.3125,-4.0419,-12.0770,-30.3925,10.5966,-2.9672,-0.8358,5.5175,-10.3445,-0.4977,-21.7883,-17.3258,-10.5051,-15.3867,-0.5620,-9.6684,15.0389
78.1250,-3.1160,-10.4403,-29.1171,11.7148,-2.0567,-5.0610,-4.2264,-13.7802,-0.2758,-22.4191,-16.9708,-9.7231,-15.9302,-2.9500,-9.5394,20.1717
85.9375,-1.8180,-8.2873,-35.6714,-5.0766,-6.8685,-0.3038,2.7866,-7.4193,2.7493,-18.8580,-10.9856,-4.8604,-10.9343,-3.7371,-13.6551,15.8179
93.7500,-2.1881,-5.2623,-40.7821,-4.5517,-16.8574,2.2137,-0.0282,-5.2373,5.9960,-14.2697,-7.5309,-3.3410,-8.1324,-7.3760,-21.8533,7.7197
101.5625,0.5028,-4.3280,-40.0210,4.9029,-22.6955,-3.5552,-11.5990,-11.0796,8.7782,-16.9511,-9.3188,-2.6270,-9.3691,-7.3390,-21.4377,11.5678
109.3750,3.7760,-9.1956,-40.5132,1.2439,-19.0409,-2.9032,-15.5475,-17.2617,7.8726,-25.6672,-13.5500,-1.9663,-6.9087,-0.3190,-10.8061,22.8354
117.1875,3.7308,-12.9226,-39.5018,-2.1362,-16.9614,-0.7604,-24.9420,-22.6593,5.7628,-29.4012,-15.1656,-1.6358,-1.1712,3.4848,-4.0360,27.6308
125.0000,4.1141,-11.4316,-37.1973,2.9624,-21.9413,-3.4618,-31.4661,-24.8682,7.8984,-29.0924,-14.7040,0.0713,-1.2103,0.9987,-7.0271,24.2075
132.8125,4.2659,-5.9536,-40.0279,6.2889,-26.5181,1.6558,-33.5642,-23.9843,9.9791,-27.6679,-14.2607,-2.1970,-6.0612,-2.1296,-12.4672,21.9574
140.6250,-1.8903,-0.5866,-45.0603,10.0086,-27.3985,4.0454,-39.5365,-23.4597,6.0333,-21.3469,-13.4663,-7.3942,-10.2895,-5.4853,-12.9374,25.2441
148.4375,-8.7332,-1.4018,-45.6087,17.4703,-24.3622,-5.5444,-49.2399,-26.8107,2.3537,-16.4228,-11.9575,-3.8091,-12.2989,-6.5118,-6.5343,26.3559
156.2500,-9.3421,-6.4214,-44.2102,17.6178,-21.7306,-8.0623,-55.1993,-31.9380,1.8951,-20.7574,-13.5069,-0.0094,-10.2449,-3.2786,-0.5761,28.8581
164.0625,-8.0509,-3.4191,-46.9277,11.9217,-26.8021,-5.4399,-66.3521,-33.4115,0.8648,-18.8262,-11.6486,-2.5876,-4.2944,-2.7361,-2.3170,31.4405
171.8750,-10.9003,3.8551,-53.2492,12.3837,-32.8797,-10.6523,-75.6397,-30.1149,-1.2870,-6.4553,-3.4628,1.5658,-2.7087,-4.9693,-7.1928,26.3488
179.6875,-12.1606,4.7085,-56.0365,18.4265,-30.9352,-11.1229,-77.2687,-29.9436,-3.6188,-3.1796,-1.4499,5.6459,-4.9446,-2.5851,-5.5611,20.7673
187.5000,-5.6493,3.8788,-53.2824,25.0765,-26.9908,-6.9569,-95.1623,-39.0215,-5.2576,-9.9207,-6.7071,-1.6799,-1.4078,1.2743,1.6620,23.4179
195.3125,-1.6659,1.0039,-49.3237,26.5325,-30.3048,-11.0370,-94.3526,-41.7466,-6.4477,-14.3662,-11.7912,-7.9384,0.2474,2.4653,4.8782,27.3219
203.1250,-2.5762,0.1857,-48.1589,23.1579,-35.3558,-10.0166,-87.2804,-38.8759,-5.6541,-13.4219,-10.5174,-5.0898,-1.8950,5.2300,2.6848,24.1695
210.9375,-1.2474,5.5200,-45.7042,22.5631,-37.3428,-3.2517,-92.3685,-37.9718,-1.9983,-12.0958,-7.4947,-3.5755,-1.3759,3.8703,-2.6878,16.9165
218.7500,1.1408,9.0860,-47.1955,23.4493,-37.9516,-4.3932,-90.9634,-35.2351,2.9947,-9.3992,-4.4037,-0.8038,-1.0048,-4.2499,-7.5092,8.4850
226.5625,-0.2292,6.3931,-51.1099,18.0318,-43.0095,-7.0070,-83.5822,-32.1269,4.8810,-6.2465,-1.7499,4.6546,-1.2239,-4.7797,-4.2581,1.4886
234.3750,-0.2502,0.7107,-46.8676,18.5515,-48.5834,-6.1564,-85.2354,-36.2412,2.1165,-9.9153,-5.8547,2.4461,2.7572,3.9231,4.4158,4.1387
242.1875,4.2140,-4.3718,-36.6775,31.0719,-44.2438,-4.3352,-93.6075,-43.3681,1.2434,-16.9644,-12.3525,-3.1505,4.5156,6.8027,6.8741,9.2241
250.0000,3.9225,-5.9781,-33.4017,28.6110,-40.0310,-2.2668,-78.0084,-39.0920,3.1391,-19.4701,-14.3591,-4.7880,0.4004,1.9412,2.9863,8.2956
257.8125,2.5573,-0.5688,-36.7761,15.0816,-45.6788,-2.7564,-73.0238,-34.0032,3.8893,-14.4672,-9.9032,-3.1576,2.7282,-2.7944,2.5016,2.7562
265.6250,4.8867,2.2598,-40.0466,14.3727,-52.2900,-4.1738,-79.2906,-32.6767,5.3079,-7.8840,-5.2674,-0.4286,4.2709,-7.2011,1.1816,-6.9703
273.4375,4.8306,2.4874,-43.4991,14.6517,-55.0165,-0.8864,-71.8087,-27.0917,9.2859,-3.3135,-1.7158,2.3920,-2.4552,-9.0954,-5.2987,-16.6625
281.2500,1.3392,7.7283,-40.2813,8.0755,-60.9738,-2.0959,-74.2138,-27.4485,8.2702,-2.9000,-0.6838,2.9235,-2.5281,-4.2149,-1.6511,-15.1102
289.0625,-1.2330,5.6455,-27.2789,7.5858,-64.4498,-10.1506,-84.8218,-38.2436,0.6701,-10.7613,-8.3023,-0.7173,1.2503,2.8711,15.9830,-2.4554
296.8750,0.3198,-1.1929,-18.6545,7.4844,-59.6311,-11.2172,-91.9733,-44.5334,-1.6867,-16.1137,-12.5512,-2.7732,-1.7988,5.1863,24.5790,2.3227
304.6875,2.4474,2.5006,-22.5270,2.0904,-60.1722,-9.8066,-81.4090,-36.9362,0.2893,-11.6578,-8.5117,-1.9139,-5.6942,1.6049,15.8545,-4.4405
312.5000,3.7417,9.4121,-31.8276,1.4832,-65.9117,-9.7691,-77.9604,-33.2772,0.7156,-7.4551,-5.6315,-0.7953,-2.4539,-0.5417,14.0997,-10.7972
320.3125,3.1945,4.7700,-33.1780,-1.4229,-63.7533,-7.4677,-70.0997,-33.4358,0.4594,-10.8129,-8.9269,-2.7383,1.7772,1.1363,22.8851,-13.6688
328.1250,3.1377,1.6675,-28.3100,-5.2276,-58.2102,-7.5891,-64.4317,-32.4900,-0.0195,-13.2674,-9.9131,-2.9397,4.2657,0.7653,22.9941,-17.2883
335.9375,1.9589,7.7336,-30.3334,-2.6597,-60.5264,-9.6142,-59.1800,-30.2112,-3.1792,-10.8542,-9.3059,-1.9286,0.9044,-2.7254,20.0661,-18.8935
343.7500,-2.5203,13.2585,-36.3378,-4.8897,-60.9309,-7.1916,-57.3710,-26.9829,-4.2653,-4.2801,-6.0452,-0.6004,-4.1753,-6.4335,23.9894,-19.6697
351.5625,-3.9423,12.6016,-36.3992,-10.2857,-55.1441,-8.7047,-58.2923,-20.8780,-3.2558,6.5514,2.4755,4.3977,-2.0870,-10.6437,20.8035,-28.6607
359.3750,0.5868,9.9890,-36.7882,-8.3990,-50.5490,-13.2617,-57.2902,-17.5297,-4.7174,10.8045,6.0287,6.1560,0.2407,-8.5124,15.2150,-35.9285
367.1875,3.3013,13.5330,-36.8202,-7.9081,-44.7193,-10.1319,-55.9304,-20.2112,-8.1719,3.1113,0.5998,-0.4898,-1.8334,-0.7940,21.1326,-32.6763
375.0000,0.2024,19.2203,-28.9779,-5.5541,-34.3409,-6.9865,-57.9920,-23.0764,-14.3245,-0.9412,-3.0267,-4.8425,-2.1556,-2.4295,23.4221,-29.0626
382.8125,-3.2318,18.4588,-20.5878,4.2338,-27.5193,-7.6804,-65.7640,-23.8692,-22.3174,5.8377,-1.2316,-4.4687,-3.6786,-8.4099,17.8537,-31.2919
390.6250,-3.6451,17.3844,-24.9978,1.1168,-27.8217,-6.0711,-61.1087,-20.6996,-25.4989,9.6934,-0.4956,-7.2469,-6.7439,-5.0582,20.2391,-28.8195
398.4375,-1.1787,22.4568,-30.2395,-9.9033,-29.6594,-6.9860,-56.8903,-17.4817,-22.2686,10.2348,1.9986,-6.7846,-1.5754,-4.0969,24.6522,-28.8955
406.2500,-1.3492,24.1722,-29.1810,-12.6063,-31.6396,-12.2406,-54.5932,-13.0112,-16.4857,16.1467,7.8368,-0.9564,3.3406,-11.7502,19.7860,-38.0868
414.0625,-3.3682,26.5391,-28.9251,-17.1731,-34.4880,-12.6199,-55.5184,-8.2984,-9.1091,22.3410,14.0245,2.0951,1.6095,-12.5431,15.8742,-46.6545
421.8750,-1.1129,30.1867,-30.9213,-19.2976,-32.2396,-10.0887,-51.8238,-7.6413,-4.6944,17.4545,13.1603,1.5581,1.7269,-7.3494,17.1765,-45.3832
