Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,2.6999,-1.0470,1.0984,3.8288,2.8463,15.9393,-4.2547,-3.3945,8.3816,-6.4889,-2.6407,-0.5661,-5.3559,-3.1764,0.4025,0.4864
7.8125,-0.4655,-3.4628,-2.9715,3.4187,0.3527,13.8908,5.6636,0.0877,6.6535,-5.1974,-2.3224,0.7047,-4.0527,2.2918,-1.9347,-0.6027
15.6250,2.1054,-1.2842,-2.4296,9.3419,3.3854,15.3471,19.7863,-2.9539,8.6483,-7.5724,-9.0252,4.3761,-1.9273,-53.4115,3.8835,4.1526
23.4375,0.3146,-5.7223,0.8499,2.1792,2.5630,9.9271,11.1331,-3.7169,8.9808,-16.3941,-10.3964,-6.2854,-8.4259,5.9349,4.9284,4.9211
31.2500,7.9302,-1.7043,10.2550,13.1713,5.0521,11.4360,8.2650,-10.2992,16.0262,-15.1040,-14.1125,-0.8157,-6.4517,-64.0647,6.9440,11.2293
39.0625,7.9396,-1.1277,7.2751,18.8710,2.2878,9.9221,9.8271,-11.6521,18.1560,-11.8308,-12.7080,9.0483,-4.2089,-88.6616,7.3774,10.8329
46.8750,5.7107,-0.8531,5.4823,19.3790,2.9246,8.6430,8.7913,-11.4380,16.3121,-12.2783,-12.3386,8.5317,-3.9302,-77.3949,7.3095,8.4954
54.6875,2.2022,-3.8562,5.6163,17.1845,-2.0615,6.2806,0.8833,-8.0208,12.2977,-13.6692,-11.3572,-5.9396,-7.5847,-11.7767,2.4511,5.3289
62.5000,-2.0275,-3.0462,4.2776,22.6222,-7.9312,8.1291,-0.7939,-7.5701,12.4532,-13.3489,-11.7096,-8.8787,-9.1000,3.6787,0.2074,1.6877
70.3125,-6.0166,-0.4968,0.3398,25.4787,-7.2291,9.8049,3.5839,-6.6400,12.8180,-11.2741,-10.2905,-2.4663,-6.0691,-11.3751,-3.1932,-4.2702
78.1250,-5.0870,-3.2338,-5.9683,22.3846,-9.6554,6.4977,7.2808,-2.7305,7.9735,-9.8045,-8.5450,-4.9297,-3.6117,11.3533,-7.3866,-6.8146
85.9375,3.7020,0.6096,-3.4618,31.2730,-10.8442,9.3168,13.1305,-6.9695,10.5558,-8.1047,-13.2703,-0.6465,-1.8267,-49.9231,-0.2820,-1.4303
93.7500,-3.0523,1.1666,-2.3751,31.7442,-13.7998,6.4457,5.1697,-5.7833,13.9461,-4.8263,-7.8431,3.7048,-4.7917,-26.1757,-0.5724,-6.7742
101.5625,-3.4536,6.5339,-0.5652,40.8465,-7.3938,7.2543,4.2706,-5.9598,15.9522,5.9922,-4.7875,12.0073,1.7616,-87.0605,-4.4218,-6.9865
109.3750,-4.8855,2.1091,-7.7586,33.7881,-11.0961,5.0827,-3.0338,-3.2763,9.4463,5.4869,-1.2069,7.0812,1.8567,-29.5864,-7.3734,-8.4210
117.1875,-7.3600,-2.1756,-9.5536,24.0540,-14.9386,4.7557,-14.9071,-3.7804,7.1642,-2.8123,2.2079,6.8461,-3.4304,44.7849,-9.5374,-13.0890
125.0000,-2.5673,0.9073,-3.8676,28.4311,-9.6934,7.1801,-12.5782,-7.3023,6.8529,-3.0567,0.1002,13.2902,-0.0465,1.2234,-9.2749,-10.1598
132.8125,2.0806,-0.1438,-4.6241,29.6426,-7.7306,7.3843,-4.8509,-6.3565,-1.6600,-1.2665,-4.1309,5.5367,2.5521,-10.7493,-6.1242,-4.8840
140.6250,6.0991,2.4887,-2.1608,29.0303,-5.8125,11.7782,-3.3215,-6.5993,1.3010,-0.5293,-5.7040,2.8212,2.5161,-34.3046,-4.3318,-3.9685
148.4375,3.1309,2.2002,-2.0644,23.5152,-7.5414,9.1250,-8.1246,-4.3127,7.7778,-2.1628,-1.0868,5.0463,-0.3283,-6.5155,-9.8887,-9.8741
156.2500,3.5505,2.4709,0.5999,30.1739,-3.2344,9.2489,-0.9341,-8.4624,1.4519,-3.3819,-6.5310,8.5585,4.3376,-44.9848,-6.4834,-7.0952
164.0625,-4.6013,-3.4645,0.0415,24.8626,-4.3223,8.5498,-3.8846,-6.6185,-12.0572,-4.7215,-6.1186,1.4509,4.0146,13.0732,-7.7673,-8.7976
171.8750,-7.5744,-1.6595,0.8627,15.4145,-6.8029,8.4054,-9.1942,-2.8067,-6.4015,-2.7375,-0.6122,0.4939,0.3702,36.9256,-10.8375,-9.0831
179.6875,-5.4328,2.0353,1.0651,12.0620,-7.2571,4.4836,-5.8581,-3.7152,-0.6317,-2.4076,-0.7851,4.8406,-0.9199,9.9389,-4.7986,-4.8766
187.5000,-3.1765,1.6803,4.0417,17.6700,-2.7831,2.4742,-3.3661,-8.0900,-3.7570,0.5950,-3.2200,12.1897,4.4410,-40.7496,0.2596,-2.7294
195.3125,-0.7912,1.4350,2.6780,16.8748,-1.4501,2.2808,-9.6925,-6.4467,1.6888,3.4195,0.6551,12.4003,5.3845,-40.5464,-5.9894,-4.9172
203.1250,-4.3957,-1.4297,-6.3936,4.9838,-7.7499,-0.6574,-15.1422,-1.5335,4.8130,-4.7777,2.6319,-1.1704,-2.6880,49.8847,-9.4070,-6.1039
210.9375,-6.0815,2.1132,-1.4089,14.1286,-2.4234,4.7017,-2.9040,-8.7170,-2.8048,-7.3171,-7.3987,2.8191,1.6301,-19.1164,-0.6301,0.6500
218.7500,-10.3148,0.6622,1.3964,15.7566,-1.7545,2.5892,1.3026,-8.2201,-9.5939,-3.8422,-6.6994,7.6014,5.6452,-27.1669,-2.0027,-1.7748
226.5625,-3.8714,0.9434,-2.4162,12.6829,-5.1443,0.1544,-0.0760,-4.8434,-0.7212,-7.2552,-4.4792,3.4316,1.8017,2.0720,-6.2688,-3.1214
234.3750,-1.7835,0.7987,-3.7588,16.1975,-6.5044,1.9206,0.3095,-6.5810,2.3428,-11.5204,-7.0754,2.1106,-0.7584,4.4219,-5.5244,0.6726
242.1875,-8.9312,0.1211,-3.5306,18.1115,-7.4500,0.0609,-0.4724,-5.6365,-5.2544,-6.1783,-4.3674,6.3767,2.2339,10.9370,-6.5804,-1.4275
250.0000,-5.9844,2.9842,-5.9912,17.9229,-7.4573,-1.3120,-3.7566,-2.8334,-5.0582,-3.1973,-0.6743,5.6329,2.8801,23.5167,-9.7981,-6.6512
257.8125,0.5786,8.7985,-1.3807,25.7152,-1.2913,4.9149,-1.5573,-7.3192,2.0224,-4.3441,-4.7198,9.4105,4.1235,-38.5326,-8.0591,-2.2876
265.6250,-14.6352,6.7047,4.0840,24.5252,-0.3049,0.9734,-1.0885,-7.8450,-2.3618,-4.0482,-4.9936,10.4877,3.3391,-26.4809,-7.4932,1.5166
273.4375,-20.8496,10.3071,10.9199,28.1525,4.1531,-4.0291,0.2866,-9.2940,-6.8145,-2.0848,-7.4089,8.4976,4.6083,-44.0023,-5.0221,8.4516
281.2500,-20.7159,8.3645,11.3819,21.1478,1.1717,-9.2188,-7.8259,-6.3250,-9.6486,-5.5436,-4.3673,0.5540,0.2790,23.5214,-8.3309,9.2841
289.0625,-14.3048,16.3875,21.1715,27.4568,4.3812,-2.8245,4.3165,-9.6264,-4.4241,-1.3859,-6.8637,14.8451,3.7880,-72.5744,-4.4209,11.9351
296.8750,-16.9775,18.5176,19.2958,25.3704,2.9997,-4.9065,15.0939,-6.0388,-8.1278,2.8588,-5.8544,17.6787,5.1184,-80.7796,-1.7376,8.4715
