Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-2.5257,3.2870,-4.0433,-8.4494,-6.0461,0.3066,-1.7758,-4.5627,-3.1268,-6.0072,-6.6736,-10.5523,1.9114,9.6741,20.3881,-3.9903
7.8125,-2.4983,3.1859,-3.5842,-7.8688,-5.7688,0.5895,-1.8400,-4.2123,-2.7626,-5.2093,-6.3820,-10.7482,2.1759,8.3293,19.9064,-4.1860
15.6250,-1.5816,2.9847,-4.6748,-8.0007,-6.1962,1.2444,-1.1723,-3.0949,-1.7690,-3.5753,-5.3625,-10.3333,2.4732,5.9619,18.9295,-5.8097
23.4375,-3.4362,4.4252,3.4928,-2.8197,-2.9398,0.1365,-4.0353,-6.6021,-4.1091,-7.7065,-9.4394,-14.2814,-1.8492,6.3493,19.1756,1.8468
31.2500,-2.7195,2.7326,-2.3374,-6.4865,-5.0658,0.6907,-2.0655,-4.0785,-2.0565,-4.2759,-5.9939,-10.0535,1.8861,4.7365,18.7239,-4.0467
39.0625,-2.2816,0.9520,-7.4157,-9.6105,-6.6423,0.7238,-0.4625,-2.1291,-0.3878,-1.6577,-2.9576,-5.5982,5.1532,3.4776,17.8759,-8.8821
46.8750,-3.4143,0.2859,-5.5294,-8.3756,-5.7106,-0.1758,-1.1760,-3.2525,-1.1404,-2.7492,-3.7458,-5.1950,4.5668,3.7190,17.8358,-6.9579
54.6875,-5.0714,-0.1058,-3.6879,-7.5617,-4.6637,-0.6613,-1.9700,-4.3311,-1.8384,-3.6916,-4.4739,-4.9423,3.9501,4.2320,18.6298,-5.4583
62.5000,-7.0281,-0.3978,1.4581,-4.3773,-2.1805,-2.1243,-3.7097,-6.7628,-3.8322,-6.3468,-6.8108,-6.0577,1.7649,5.2534,18.7044,-0.4935
70.3125,-7.0653,-1.8177,-0.1942,-5.4589,-2.5345,-2.4129,-3.2175,-5.9909,-3.1427,-5.0207,-5.3940,-3.8250,3.5805,4.5145,18.1681,-2.1814
78.1250,-8.3128,-2.3748,-2.7611,-7.2450,-3.1920,-2.2256,-2.6131,-5.4807,-2.6161,-4.0997,-4.0698,-1.0918,4.8963,4.4094,18.9419,-4.9639
85.9375,-7.2789,-4.2100,-2.9649,-7.3397,-3.0494,-3.3173,-2.6175,-5.2742,-1.9259,-3.7667,-3.2184,0.8579,6.4688,3.3378,17.0268,-4.5679
93.7500,-3.1847,-7.4105,-2.2789,-6.6984,-3.0893,-5.4191,-2.4538,-4.2376,-0.5195,-2.5377,-2.0102,1.7721,8.7910,0.8359,12.4192,-2.4825
101.5625,-0.9510,-8.8219,-4.2799,-7.6773,-3.7039,-5.4738,-1.6439,-2.9197,0.7483,-1.0238,-0.4747,3.2002,10.1180,-0.2775,10.8208,-3.7185
109.3750,-2.7946,-7.6438,-1.0654,-5.6986,-1.8993,-5.1510,-2.9482,-4.8625,-0.8444,-3.3518,-2.5984,1.5509,6.7230,1.5098,12.8150,-0.7133
117.1875,-2.0871,-8.1593,-3.0340,-6.7048,-2.4547,-4.6401,-2.3159,-4.0069,-0.1196,-2.2589,-1.5324,2.7005,7.3627,1.1261,12.7690,-2.4419
125.0000,-2.8617,-7.6772,1.0117,-4.1296,-0.4892,-4.9840,-3.7072,-5.8625,-1.5681,-4.5255,-3.7051,0.6758,4.3354,2.3796,13.5205,1.7393
132.8125,-2.5962,-7.8162,-1.4786,-5.5580,-1.0213,-4.0898,-2.9494,-4.9954,-0.9070,-3.4755,-2.5659,2.0702,4.6908,2.3927,14.1380,-0.6145
140.6250,-2.3734,-8.1198,-1.4900,-5.3470,-0.7713,-3.8464,-3.0491,-4.9323,-0.8184,-3.2367,-2.3956,2.3061,4.3107,2.4509,14.2671,-0.5072
148.4375,-2.9749,-7.6758,1.0623,-3.7290,0.6387,-3.9053,-3.9357,-6.2734,-1.8593,-4.9522,-3.9235,1.0687,1.8327,3.5423,15.1121,2.2142
156.2500,-3.8455,-7.1117,2.9899,-2.4686,1.7638,-3.8474,-4.7549,-7.5019,-2.7505,-6.4463,-5.1865,0.2872,-0.3603,4.4849,16.1501,4.2251
164.0625,-2.0793,-8.4632,-2.3575,-5.3835,-0.0581,-2.6439,-2.9012,-4.8201,-0.7315,-2.9931,-2.0762,3.0725,2.5620,3.2788,15.5568,-0.9043
171.8750,-0.0000,-9.5788,-10.0985,-9.8274,-2.5407,-1.1753,-0.3258,-1.6640,1.8734,0.6348,1.8490,7.4851,5.6922,1.8983,14.9738,-8.0865
