Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,1.4303,15.1943,-18.1322,-11.1634,-11.3276,10.5638,-1.1851,-3.1056,-19.5393,0.1931,-0.6128,4.1887,2.4305,-0.9544,11.4918,-10.0377
7.8125,0.7248,16.0334,-11.0898,-9.5622,-5.3332,9.7024,-5.6178,-10.1912,-23.1288,-8.8318,-7.9943,-2.2123,7.4684,1.5372,22.9446,-1.0394
15.6250,1.7196,16.2046,-2.9095,-1.6621,1.5552,5.7839,-10.7066,-17.4460,-26.9911,-16.4643,-14.1149,-4.3449,5.9256,6.1383,34.2123,4.5354
23.4375,3.3428,11.6342,0.3019,2.7144,-2.4893,2.9477,-9.3262,-16.2985,-29.2091,-10.8190,-13.6879,-4.9785,2.4716,2.8635,35.8734,4.4919
31.2500,4.0133,9.3612,0.0147,3.8596,-0.4967,3.6038,-7.4502,-14.8309,-28.2650,-9.4465,-15.5561,-12.8906,5.0998,-1.8841,35.0597,5.0319
39.0625,3.4074,12.4543,-2.4100,7.9390,9.3964,2.2142,-9.8086,-16.7447,-25.1075,-14.8503,-17.8043,-16.0938,7.2030,-0.0575,36.3862,1.2835
46.8750,3.0362,12.6014,-5.4211,6.7662,6.3103,2.9323,-10.1694,-16.0289,-20.7119,-13.6470,-15.3017,-11.3560,7.7176,-0.1091,37.3828,-3.8029
54.6875,3.5427,10.7138,-5.7547,0.8339,2.4555,10.1436,-7.3867,-14.5821,-13.4040,-15.3220,-15.6362,-13.7346,8.9652,-1.3535,36.9429,-0.8078
62.5000,0.5856,11.3143,-2.0986,2.7681,10.7534,14.1162,-5.0589,-14.2140,-6.1352,-20.8986,-18.5174,-19.8662,5.4752,0.9296,34.4981,1.9916
70.3125,-6.9703,7.6104,4.5124,5.7247,11.7284,13.6412,-4.3290,-12.4394,-3.9796,-15.9869,-17.0900,-19.8447,1.3333,-1.3365,33.9319,0.0309
78.1250,-11.2202,2.6265,7.3550,1.3050,6.2841,16.2632,-7.9642,-12.5740,-2.9049,-10.9208,-15.4640,-19.5708,3.5417,-4.0957,39.3074,2.3639
85.9375,-9.0635,7.8040,2.6463,1.8319,9.6687,20.5552,-12.1301,-15.3726,1.6282,-16.8800,-16.8545,-19.7782,5.1847,-0.1100,44.1436,5.2772
93.7500,-8.0840,14.1315,-1.8731,6.8715,13.2063,25.5995,-9.3258,-15.2349,6.8584,-20.7351,-17.2854,-17.3931,2.2297,-1.5414,43.5034,1.7111
101.5625,-11.3662,12.6768,-5.7902,1.1088,11.9904,29.6962,-8.1289,-11.7736,12.2229,-15.9302,-14.5833,-18.9637,0.4712,-7.0415,43.9300,-3.1078
109.3750,-12.1593,14.4948,-12.4011,-8.0595,12.9658,27.9221,-16.3448,-10.1793,16.6103,-12.1751,-11.0214,-23.4900,1.6998,-2.7861,47.8673,-5.8217
117.1875,-9.2402,19.9202,-10.5763,-5.8084,16.2425,26.1352,-21.6053,-12.6062,16.8274,-15.8977,-11.6375,-23.6188,3.5412,0.7285,48.6648,-5.8450
125.0000,-10.6419,17.6796,-3.8588,-1.2103,20.0458,26.6771,-18.4875,-13.2186,18.1755,-18.0103,-12.9487,-21.5678,5.0850,-5.0037,44.9457,-4.6745
132.8125,-15.2745,12.1022,-11.4988,-4.2922,18.8659,23.7720,-15.8120,-7.6432,25.6238,-9.5571,-7.6414,-20.1891,5.6678,-7.5041,43.6997,-9.1358
140.6250,-13.9824,9.1976,-22.3033,-7.4936,11.9356,23.9028,-12.4574,-3.0713,34.6644,-4.3200,-4.6200,-21.8927,5.0596,-5.7986,47.3467,-15.0626
148.4375,-10.7207,2.4827,-17.6495,-8.1861,9.6009,27.5926,-6.0159,-1.7998,39.9829,-7.2434,-9.4709,-32.9776,6.1614,-5.7288,48.5114,-13.5147
156.2500,-13.2108,-6.1173,-11.4999,-10.9736,9.1644,24.1829,-3.1403,2.8259,38.8588,-0.5255,-10.3275,-46.7780,8.7462,-3.5043,45.9307,-10.0097
164.0625,-14.9213,-7.9627,-13.2754,-10.7720,6.0933,19.4147,-5.4714,4.8176,33.0712,7.6867,-7.9647,-48.8201,6.7529,-0.8750,47.5782,-7.4938
171.8750,-12.0246,-8.1207,-11.1717,-5.7985,9.5565,17.4320,-11.0133,-1.1730,27.3055,2.5803,-10.5862,-44.3339,5.0329,-0.8997,50.5109,-3.1170
179.6875,-10.9993,-11.0446,-5.1961,-4.5729,13.5552,11.0642,-14.5940,-2.6742,21.3775,2.6434,-11.3591,-46.2124,10.8693,-1.1013,47.0502,-4.2128
187.5000,-10.7908,-10.5096,-2.7425,-5.9903,10.4209,7.5287,-8.6823,2.9318,15.6959,10.8133,-8.6486,-48.8519,11.0626,-2.4837,41.8798,-8.9256
195.3125,-7.8857,-7.8940,-2.3914,-5.0904,11.4029,10.9701,-1.9164,4.3423,14.7987,9.1864,-8.7689,-45.4132,3.1248,-2.5488,40.1753,-5.1117
203.1250,-5.9408,-10.8743,-3.7223,-7.2202,12.5021,11.7044,-0.6615,3.9633,20.8264,5.5402,-8.6406,-42.5366,4.5666,-0.9478,40.1264,-1.7726
210.9375,-5.0918,-20.7045,-5.9058,-10.7243,5.2704,10.5948,7.6242,7.9953,34.5109,7.4201,-6.7142,-40.2375,7.3665,-6.4864,38.9817,-9.1559
218.7500,-4.3288,-30.4085,-4.1341,-7.2383,2.1273,8.3524,14.7018,9.4804,50.1327,5.8376,-5.7593,-33.3114,1.4615,-12.1720,37.2399,-12.5024
226.5625,-4.5108,-31.9046,-0.4158,-3.4921,3.1362,0.3131,4.9894,5.5880,55.6852,4.0366,-3.9248,-26.9137,4.6546,-6.6450,40.6171,-7.2048
234.3750,-0.9080,-33.2379,-1.6386,-6.3961,-0.2573,-5.5677,-0.1073,4.5416,55.7590,5.8820,-1.7449,-24.2023,12.7476,-3.5973,45.6169,-7.2034
242.1875,5.2513,-45.4059,-7.3124,-8.4124,-2.1930,-5.9157,10.0163,9.3378,64.1553,7.7354,-0.0618,-22.1754,9.9977,-8.2719,39.9221,-10.2765
250.0000,7.4108,-54.0159,-11.2831,-9.7173,-3.7685,-8.3103,13.6701,14.6938,74.5084,11.3098,4.1612,-20.9518,11.6981,-6.2194,29.5777,-9.8196
257.8125,10.5380,-47.8171,-11.0417,-13.8447,-5.8306,-10.3444,11.9726,16.5320,77.8612,11.8542,7.5956,-18.7079,19.6658,-3.3913,27.1617,-11.2385
265.6250,15.0059,-44.0684,-6.1763,-9.2846,-1.9445,-10.1567,14.9798,14.9200,79.9825,6.4660,5.6216,-15.6782,15.7294,-9.6241,25.4744,-10.4491
273.4375,11.5643,-48.1771,2.5104,3.5079,-1.7604,-13.8975,13.8701,13.7937,82.4772,7.1413,3.6293,-17.2394,7.9210,-14.1391,18.0608,-5.2301
281.2500,6.9151,-44.3801,7.9041,7.5412,-5.6470,-19.0258,12.0588,16.6129,84.1226,12.5607,5.9133,-20.1091,7.8637,-14.6327,10.3714,-6.8132
289.0625,9.8787,-36.4341,9.9599,8.0142,2.0869,-20.2762,14.4927,17.5157,84.8290,8.2407,5.7433,-20.3293,9.8178,-15.0122,5.2638,-7.5164
296.8750,11.1170,-35.7512,18.1995,16.3362,10.3042,-20.3070,11.5621,10.8065,79.2770,-2.0299,-1.1714,-22.8978,10.7142,-10.8202,6.1558,3.4495
304.6875,6.9928,-33.7153,24.3743,19.0383,6.5866,-21.1573,7.0537,6.1547,72.2959,-4.2774,-4.6978,-24.3712,10.5728,-8.3427,10.5022,7.4182
312.5000,4.8913,-28.0950,17.0549,13.4010,5.0712,-20.1487,5.8704,9.7368,72.2853,2.3941,1.5090,-18.6915,12.3142,-12.4711,8.4780,0.1916
320.3125,5.1665,-29.4482,11.3330,16.0530,6.6957,-15.8595,-2.2609,9.7314,72.0261,7.8971,6.2137,-13.1070,15.4993,-13.7769,6.3539,1.4450
328.1250,6.7162,-33.6645,13.9083,20.8625,4.5289,-12.7525,-23.6787,1.8838,69.5434,8.8636,6.9388,-9.9610,12.6559,-12.8344,9.5737,4.3489
335.9375,9.7453,-31.8996,10.9940,15.8845,5.7236,-12.9850,-58.8008,-5.0743,72.4315,12.9053,14.7014,-4.2856,13.0892,-12.8007,7.8784,-0.0920
