Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-0.3154,-0.3448,1.2768,2.5469,6.5422,-2.0813,-2.4144,-2.8269,-2.4770,-5.4843,-3.5071,-4.3193,4.6376,5.3197,-0.5579,4.6376
7.8125,-1.3356,-0.6250,2.1487,4.8275,9.3443,-7.2253,-2.9821,-3.9094,-5.3892,-6.8936,-5.8103,-8.3133,2.2717,6.7442,-1.5907,10.8708
15.6250,0.1460,-2.2303,-4.8027,4.2727,7.2723,-3.6317,0.1100,-2.5810,-3.0515,-8.0293,-7.4306,-13.0947,1.0549,4.3513,-5.5093,5.0263
23.4375,0.1447,-4.5950,-0.5965,4.3582,6.1582,-1.4985,-4.8611,-5.1454,-2.2234,-9.7906,-9.0737,-15.2788,1.5417,-0.4524,-7.5888,1.9064
31.2500,0.7723,-4.5567,-3.8971,1.7413,4.7586,-7.3813,-8.0509,-5.0489,-0.7485,-7.8439,-6.8834,-13.3258,3.3034,0.4435,-5.7451,4.4955
39.0625,1.1162,-0.7041,-2.4694,0.2651,5.8816,-7.7873,-3.1550,-2.8678,0.7159,-8.1712,-6.9388,-14.9879,1.3403,2.1945,-4.5094,9.0403
46.8750,3.7275,-0.1613,-0.5748,0.2297,8.4328,1.9745,2.6232,1.6556,3.6845,-4.2759,-4.2501,-14.1627,0.7388,0.4505,-3.8564,1.6965
54.6875,4.0965,-4.9662,-0.3330,-1.2544,6.8725,2.9311,4.0068,4.5261,5.5772,1.7895,-0.4535,-10.5514,0.8555,0.8614,-1.3679,-0.9202
62.5000,1.6760,-5.5405,-1.7771,-2.6901,2.9647,-5.3907,5.2131,4.5039,5.6201,2.4980,0.1959,-7.8421,1.0338,2.4771,-0.4728,5.0751
70.3125,-3.1150,-6.0891,-1.5719,0.7729,3.8692,-8.8130,5.4574,3.2585,2.5887,2.9931,-0.6018,-6.0610,2.1911,-2.7225,-1.8159,2.8032
78.1250,-9.0802,-14.5930,-8.9937,0.2174,2.1325,-6.9123,7.2772,4.2806,3.2588,7.1897,0.8239,-3.1650,2.5275,-5.1389,0.2269,-7.0235
85.9375,-14.0763,-16.5945,-7.1976,-2.6214,-2.6851,-9.6757,6.6455,2.2108,5.3335,4.3611,-0.6974,-2.3576,-1.4946,-0.5191,2.8984,-0.3092
93.7500,-13.0457,-8.5778,1.2085,1.1759,-1.0404,-11.3302,2.6021,-0.6197,3.5490,0.9542,-2.3818,-2.7002,-2.9143,-3.9110,0.8373,4.9588
101.5625,-8.2615,-6.6140,5.0365,3.5675,6.3557,-3.8740,1.4281,-1.1685,0.3551,-0.6493,-4.1702,-7.2711,0.8070,-8.0560,-0.1323,-1.2496
109.3750,-2.9873,-5.8468,0.1726,-1.1079,5.7890,3.1330,4.2673,-0.0069,1.9443,-4.3625,-4.4744,-8.7326,5.3573,1.9401,0.9443,-1.8343
117.1875,2.1480,1.9027,1.4101,-0.1936,1.9927,-0.3603,3.0360,1.1862,4.8407,-3.9377,-1.2145,-4.0305,7.1796,9.5448,0.8894,7.2786
125.0000,6.3050,2.0299,4.7359,2.1953,3.5049,-2.3704,4.8764,6.6096,9.8593,5.6758,4.9996,-0.2092,6.5584,2.5113,0.8190,4.4627
132.8125,8.6109,-1.4336,10.6426,-0.0343,7.5905,0.4679,7.1846,9.9088,13.3026,9.2999,7.2319,-1.2716,4.5933,0.8203,1.3722,3.4099
140.6250,13.2480,7.0565,9.8497,1.5439,8.4407,0.6258,3.9089,8.3789,12.7175,5.3791,7.4401,0.4954,8.2633,9.1797,2.4094,9.5502
148.4375,16.0770,13.6927,12.0961,7.5740,11.1321,1.6516,2.2263,5.9214,11.3556,1.9549,5.7479,1.1569,12.4566,10.5185,6.3109,11.4085
156.2500,14.5549,8.5258,10.1600,6.8234,10.3373,6.0595,8.9504,11.3160,15.7897,9.7769,10.1221,4.9365,11.0670,6.3078,7.9903,2.4672
164.0625,9.1176,7.2555,15.5252,6.6885,6.6134,1.9327,9.8044,14.8895,14.2642,18.8441,14.7503,8.5741,8.4994,6.6168,6.6031,7.1681
171.8750,10.9380,12.5064,7.2719,4.0438,5.8180,2.0262,11.9104,17.7549,14.3282,22.1394,18.2296,11.5212,14.8510,10.2266,10.7531,5.4361
179.6875,13.6205,13.0047,8.1067,4.1342,12.5451,9.1066,13.3573,16.4632,17.0510,16.5891,15.7186,9.6268,14.5366,10.9586,14.6242,1.6979
187.5000,13.0399,8.1053,9.0934,8.9064,13.8575,8.5820,12.4759,16.2425,19.4648,17.2451,15.7608,10.3845,10.2048,10.5437,12.1312,0.9240
195.3125,9.2670,3.0209,11.5325,11.1688,11.1873,2.0060,11.1044,14.2037,15.0929,18.2494,13.6558,8.4712,12.2473,10.5242,13.4685,5.4620
203.1250,7.5620,0.1950,7.0138,6.8065,6.0816,3.6462,11.5894,12.7548,12.9192,17.0565,12.2198,8.5868,13.4396,9.3520,15.5339,1.2229
210.9375,5.8278,-0.1438,14.7551,9.3855,3.9698,4.3850,6.6687,8.9413,10.5467,14.0412,9.9692,9.0959,6.8845,7.4724,11.7588,4.0041
218.7500,4.9282,-2.7295,14.4021,9.6146,4.1256,2.6859,9.1931,8.9645,8.2634,14.1246,9.5188,10.3652,8.4697,5.4025,10.4097,2.1299
226.5625,4.8616,-4.7792,9.3078,4.1299,3.2333,1.9104,11.9854,8.8665,7.4176,12.8967,8.8096,10.5469,11.6649,4.4250,13.8577,-0.9569
234.3750,5.3881,-4.4411,7.4640,5.1974,-3.0288,-0.2289,6.9813,6.5808,10.7027,12.2264,9.3824,14.1019,8.2616,1.7282,12.8938,-1.6158
242.1875,5.2887,-6.8990,14.1622,6.0352,-5.7264,-2.7179,5.8852,6.0646,10.4765,13.3892,10.2122,17.2270,8.4039,-2.8975,8.5815,-1.5731
250.0000,4.6567,-9.4587,8.9747,-4.4903,-8.5305,-1.7977,11.4791,12.9165,10.0448,21.7813,16.6619,20.8903,11.1255,-4.4923,3.4204,-7.8988
257.8125,0.7302,-6.5153,2.4345,-11.1611,-14.7309,-2.7389,8.8261,15.5940,13.2191,26.6114,21.8384,25.2059,7.3676,-4.7785,-1.0636,-9.6151
265.6250,0.3594,-4.0537,2.3049,-10.1518,-13.6312,-2.4036,6.9762,11.3849,13.6598,18.9956,18.3410,25.8191,9.2819,-6.7035,-1.6649,-11.1297
273.4375,4.6759,-3.5588,4.3913,-8.5004,-8.3201,-0.6841,8.6810,7.9471,6.8292,11.1560,11.8686,18.8718,13.5752,-4.8356,-0.5521,-9.1662
281.2500,5.6342,0.3779,11.7933,-2.5318,-7.9766,-3.9707,-0.6660,1.9717,1.1371,6.1818,5.9970,9.9343,8.3069,-0.0350,1.7783,4.5930
