Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-4.8440,-0.7527,-12.7966,-1.3953,-0.0372,-8.2224,6.2678,-1.4891,-11.4674,-3.8939,-3.9464,-0.6327,1.2039,3.1499,-3.1375,4.9983
7.8125,-4.4210,-6.8934,-12.7919,-2.4957,1.3465,-6.2695,9.6902,0.3928,-10.4592,0.1871,-2.8214,0.2906,-4.4077,-0.4531,1.6949,2.9425
15.6250,-2.4912,-10.5269,-9.6951,-0.2703,-1.7780,-6.0600,17.4367,-0.5439,-10.5580,-3.8751,-7.6858,-2.8005,-8.0119,-0.7339,5.5695,5.1311
23.4375,-5.0588,-5.7384,-3.9993,2.0239,-3.8100,-5.8750,23.5530,-2.2520,-13.4744,-11.2148,-13.1319,-6.6397,-5.5539,3.2610,3.6487,10.5206
31.2500,-7.0626,-3.6675,-2.2222,-1.1165,-2.0683,-3.6775,26.3479,-0.5154,-13.5522,-10.2809,-11.1130,-3.0136,-2.1512,-1.3403,0.0259,7.5239
39.0625,-4.0757,-8.6089,-2.2834,-2.6817,-3.0106,-2.4147,27.6135,0.9188,-10.4840,-9.6325,-8.3823,2.4869,-2.3315,0.2564,-3.7890,-0.8328
46.8750,-3.8568,-10.2636,0.5295,1.9331,-3.6466,0.6306,28.0511,-0.6388,-8.0209,-12.5193,-10.1756,3.3604,-2.0147,-3.6974,-7.1928,-1.9779
54.6875,-9.4319,-10.9514,-0.2851,2.4102,-2.1309,6.2518,26.3351,-0.4935,-4.0689,-11.8883,-9.5664,3.4612,-3.5267,-6.5165,-8.8908,-1.8787
62.5000,-11.6539,-14.0215,-4.3443,-1.4256,-2.6054,9.8051,25.2997,0.0760,2.5749,-10.9275,-7.6595,6.1722,-6.2916,-11.3001,-8.2155,-5.1337
70.3125,-10.6873,-15.0156,-6.0854,-3.4357,-4.6302,9.3367,24.7946,-0.4021,3.7819,-13.3113,-7.7485,6.8572,-6.5232,-4.2881,-8.4986,-6.0376
78.1250,-10.7294,-13.5583,-5.7733,-3.5522,-4.0820,9.2003,24.6151,-0.3734,2.0274,-13.2385,-7.6541,6.7833,-5.6384,-2.9605,-8.5890,-4.9510
85.9375,-10.1978,-13.1745,-5.9467,-3.7840,-3.8629,9.5733,25.1818,-0.5421,3.1868,-12.6790,-7.5804,7.8853,-5.2218,-10.8069,-7.7751,-4.9396
93.7500,-9.7858,-13.3680,-7.0318,-5.2240,-5.3826,8.6614,24.3961,-0.5844,2.5429,-14.5333,-7.4569,7.6783,-5.2779,0.5673,-8.5955,-5.0139
101.5625,-9.4041,-11.9617,-6.8004,-5.3724,-4.4287,9.2146,24.7687,-0.8115,2.0194,-13.9519,-7.4649,8.4745,-4.1741,-6.3685,-7.8928,-4.1744
109.3750,-8.8128,-11.6029,-6.8392,-5.3655,-4.5875,9.2931,25.3110,-1.1198,3.1859,-13.9050,-7.6245,9.3564,-3.7424,-12.7027,-7.3140,-4.0334
117.1875,-8.0550,-11.0613,-7.5129,-6.5023,-5.2661,9.0196,24.9802,-1.3026,2.5421,-15.0219,-7.5819,9.6551,-3.3953,-8.3576,-7.5372,-3.5841
125.0000,-8.1544,-10.4012,-7.8369,-7.2091,-4.8840,9.0574,24.8035,-1.2775,1.7508,-14.9031,-7.3389,9.9564,-2.5315,-8.0781,-7.2718,-3.4608
132.8125,-7.7437,-10.3254,-7.8793,-6.9097,-5.6845,8.7886,25.2594,-1.4374,3.2681,-15.1725,-7.4591,10.6086,-2.8798,-11.2075,-7.3946,-3.2730
140.6250,-6.3764,-9.0457,-8.7223,-8.9613,-5.4134,8.9912,24.7366,-1.8283,1.2885,-16.0960,-7.3509,11.2246,-1.4736,-8.6863,-6.5569,-2.5936
148.4375,-6.7915,-6.7858,-8.1750,-10.4149,-3.0083,8.7566,21.7292,-3.3035,-1.7332,-17.3208,-7.6739,10.8055,2.2271,-4.6546,-3.0670,-2.4228
156.2500,-6.8411,-6.0219,-7.5094,-6.9154,-3.6447,8.1609,17.6682,-4.5403,2.7517,-18.0384,-7.8746,9.8932,1.7560,-3.4752,-1.7954,-0.7655
164.0625,-1.5852,-7.9377,-13.0073,-5.3143,-7.0294,10.8564,15.9861,-2.9022,9.0945,-15.4506,-5.9043,9.6757,0.2603,-6.4166,-4.5464,2.2045
