Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,-19.6749,-0.7969,80.0076,-7.2757,21.0842,-23.1292,8.3708,-15.7584,-9.6303,-6.5835,-16.9539,-0.2005,-22.4498,-75.9585,37.1494,87.9178
7.8125,-9.6491,-6.1425,76.5821,-6.3731,24.0853,-14.9966,18.7364,-12.2783,-10.4053,-3.3073,-18.1769,-3.0347,-20.9557,-97.7023,35.5969,79.7873
15.6250,1.7812,-8.7711,68.2019,-9.0202,26.4387,-8.1728,5.8027,-14.3122,-9.4705,0.3547,-14.8307,-1.8869,-12.7332,-106.3862,39.9136,73.1879
23.4375,1.8516,-3.0458,55.1915,-11.4476,19.9518,-7.0926,-12.2182,-15.3564,-8.8227,0.5236,-9.7337,-2.6406,-4.6161,-73.8987,36.9031,63.8404
31.2500,1.2987,7.0053,41.9970,-6.2243,12.6307,-3.7759,-16.4543,-9.0272,-2.4758,10.2830,-1.6354,-0.4333,-2.8384,-76.1821,23.4475,43.2638
39.0625,5.8348,14.5824,26.5559,-3.8566,7.9126,2.5736,-20.8567,-2.7097,7.8924,24.7671,10.9799,13.9860,-1.2456,-103.5927,13.6360,22.4667
46.8750,8.9977,18.9288,10.3520,-8.7859,4.3778,5.9895,-27.7614,-2.3866,10.0453,27.7207,17.8581,25.3676,7.2527,-104.1929,12.7316,13.4313
54.6875,15.5200,24.0925,4.8618,-8.8974,5.0436,8.1110,-29.8460,-2.5861,7.5291,31.1194,17.0424,20.3451,16.4486,-127.6961,13.9721,8.0308
62.5000,20.9596,29.3492,-1.1492,-8.3886,-2.9826,9.4268,-13.2692,7.2325,11.4341,41.7936,18.9073,14.1273,17.7025,-153.7220,8.9070,-2.7132
70.3125,23.5771,36.0297,-12.3355,-12.0300,-11.6202,11.5599,-7.4766,13.0060,18.6918,46.5554,25.6514,23.1480,22.7662,-160.0894,1.9673,-14.6168
78.1250,26.0914,35.0629,-28.2124,-16.5867,-14.5210,11.3382,8.3143,19.6777,25.6535,45.2517,28.2542,27.7999,29.1885,-153.5522,-2.1861,-27.0765
85.9375,27.8285,30.4506,-33.4329,-17.5117,-11.4046,11.8157,24.4778,27.8519,26.9706,47.9592,27.6422,19.0952,27.8912,-147.0166,-5.0699,-37.2652
93.7500,22.2404,32.3469,-31.8960,-14.3557,-12.4710,13.8110,26.4319,30.3803,18.5083,47.9393,26.6949,12.4208,22.2854,-120.1479,-11.7378,-40.7946
101.5625,19.2269,37.2625,-35.5887,-8.8005,-14.5835,13.4758,3.0056,23.5484,14.0069,44.0391,29.2908,17.0867,21.2792,-89.9080,-16.4722,-43.6890
109.3750,21.9023,34.2084,-45.8917,-10.7881,-16.2774,9.2403,-8.3508,22.7181,20.5831,45.6865,34.5301,22.4592,22.8826,-76.7839,-13.7988,-51.8502
117.1875,25.4508,34.7707,-47.5487,-13.4951,-12.2470,11.2657,-10.1873,22.9207,25.5973,53.7245,36.7975,24.4606,29.5401,-119.2485,-6.2558,-56.7371
125.0000,23.4405,36.5990,-47.1247,-10.9412,-11.0167,12.2060,-1.3328,23.4241,23.1561,51.9819,31.7075,17.1897,33.2339,-129.3911,-4.2370,-56.4332
132.8125,22.2920,38.4459,-46.0466,-5.1301,-12.0993,11.5157,-6.1830,20.4813,24.0847,46.6500,28.5184,12.5732,31.6145,-117.2844,-6.0311,-54.2873
140.6250,20.8031,37.4898,-46.5072,-4.3820,-14.5448,10.9963,-7.0741,20.3488,25.1110,45.0122,28.2336,11.6974,29.2943,-105.2215,-6.7667,-53.3852
148.4375,21.6180,36.7236,-43.9248,-4.8809,-12.7427,12.3019,-7.8314,19.0305,23.9695,44.8674,27.5274,12.3170,31.2765,-112.6747,-4.7304,-52.5022
156.2500,21.4899,36.2671,-44.6821,-4.3884,-14.6350,12.4141,-7.6504,18.8681,24.4511,44.3721,27.3307,12.5521,31.5658,-109.9236,-4.6354,-51.4470
164.0625,20.5877,34.9798,-44.1136,-4.4625,-15.5107,12.6108,-6.0934,18.9244,24.3427,43.3377,26.5754,11.9424,30.6732,-105.5678,-4.2513,-50.7274
171.8750,21.3942,34.9332,-42.2818,-3.9895,-15.2510,13.8564,-7.2786,17.5602,24.0035,43.5174,25.9368,12.5821,32.3904,-113.6632,-2.4279,-49.1707
179.6875,21.0408,32.9307,-43.0395,-4.8433,-16.1462,13.2754,-6.6950,17.9160,23.7525,41.5455,25.6299,11.4758,32.1977,-100.2389,-2.9649,-49.1782
187.5000,20.1882,32.7827,-41.1262,-3.8926,-15.1854,14.2984,-7.8356,16.8568,23.8462,41.7914,25.1877,12.0360,31.7669,-105.8042,-1.5356,-48.1497
195.3125,22.0043,31.5874,-39.8119,-4.3956,-16.4232,14.8096,-7.8474,15.7625,23.3869,40.2434,24.1359,12.0028,33.8778,-105.5856,-0.1480,-46.5521
203.1250,26.2385,28.7436,-41.8019,-8.0945,-21.0302,15.9590,-8.0349,16.3342,21.8440,34.1930,24.4019,11.8154,35.4411,-73.4048,-5.9728,-49.9394
210.9375,28.2037,26.5705,-44.2629,-8.3584,-20.2897,19.1105,-10.6551,16.6078,18.4501,30.8067,25.5987,13.0793,33.2544,-49.9052,-13.0487,-58.8106
218.7500,26.3978,24.2484,-46.3154,-4.3533,-18.4868,19.9917,-5.0159,17.8171,17.3609,32.7079,24.8406,13.6838,29.2967,-56.9435,-12.9231,-63.6882
226.5625,25.3705,21.6241,-45.9980,-3.4367,-18.0595,18.6227,-3.5060,17.6932,17.7627,31.5290,23.5877,12.0076,27.7717,-51.5077,-11.0094,-63.2551
234.3750,26.1023,22.9387,-44.5576,-4.0984,-18.6449,19.6988,-3.8479,17.3792,18.1910,31.9019,23.8531,13.2885,28.0856,-58.3532,-11.6689,-62.2679
242.1875,24.3141,20.8725,-46.8976,-4.8639,-20.1762,18.5766,1.1194,19.3956,17.8287,30.9648,23.4689,11.7366,26.2222,-45.6195,-12.5547,-63.3574
250.0000,24.3092,20.8866,-45.4076,-4.0807,-20.0743,18.6358,-0.3340,18.3811,18.7527,31.0878,23.1700,12.2548,25.9238,-51.1320,-11.5922,-62.0356
257.8125,25.1513,21.6928,-43.9594,-4.2922,-19.3842,19.7235,-2.6754,17.5732,18.7570,31.3384,23.4426,12.9264,25.9968,-55.8060,-11.8657,-61.6514
265.6250,23.4362,19.7926,-45.8382,-4.9000,-21.1237,18.5257,2.4905,19.4469,19.0748,30.5946,22.9616,11.6413,24.4360,-46.3042,-12.3328,-62.1695
273.4375,23.2288,19.7432,-44.9537,-4.5450,-21.0942,18.6207,1.0381,18.6647,19.8816,30.3868,22.8468,12.0892,23.9505,-48.5030,-11.8694,-61.2132
281.2500,23.9334,20.1970,-43.7185,-4.8626,-20.9047,19.4224,0.6592,18.4286,19.5275,30.6166,22.8641,12.4092,23.6860,-51.9870,-12.1542,-60.9448
289.0625,22.8723,18.8991,-44.5360,-4.8061,-20.7949,18.7413,-0.1314,18.4331,20.2471,30.0720,22.8992,11.7669,22.9720,-45.9653,-11.9361,-61.2258
296.8750,22.9895,19.3664,-42.9581,-4.2992,-20.9838,19.3839,0.1651,17.8102,21.3402,30.1161,22.4625,12.6130,22.6344,-53.9877,-11.5928,-60.0705
304.6875,23.0181,19.2303,-43.5780,-5.1860,-22.4888,19.2808,3.3017,19.2753,20.3091,30.6339,22.6512,12.2276,21.5165,-50.2561,-12.4740,-60.0000
312.5000,21.1629,17.2404,-44.3318,-4.9181,-20.9741,18.6199,0.1287,18.1114,22.0178,28.8958,22.4440,11.8183,21.3186,-43.5281,-11.7011,-60.9702
320.3125,18.1615,13.5639,-43.1237,-3.8798,-19.8483,19.2217,2.6994,15.5344,26.6223,21.0041,18.1773,10.2043,20.6886,-38.7832,-10.9315,-60.8093
328.1250,20.3319,14.5217,-36.6773,-0.6785,-18.9367,22.8503,3.1507,11.3967,29.3987,16.4347,13.8311,10.4555,21.3847,-62.0443,-10.2774,-56.5048
335.9375,22.5619,16.1443,-33.6492,0.3991,-19.3794,23.8377,4.6098,10.7860,29.3135,16.3722,12.8318,10.8648,21.9353,-73.6196,-10.5922,-53.7293
343.7500,22.2199,16.1727,-34.7539,-0.9777,-19.9525,23.3756,7.8074,11.8871,29.8686,15.5694,12.9402,11.2922,22.2311,-70.1798,-11.1393,-54.7826
351.5625,23.0131,16.9393,-33.4991,-0.7761,-19.8274,24.1753,8.7937,11.2615,30.5933,14.9204,12.2827,12.1832,23.3160,-77.9628,-10.9911,-54.2775
359.3750,24.1978,18.2533,-32.2417,-0.1643,-20.1956,24.6340,10.2748,11.1793,31.2151,15.3044,11.9999,13.1081,24.0380,-87.0735,-11.2420,-52.8304
367.1875,24.5493,18.8478,-32.0025,-1.0862,-20.1531,24.8370,11.5753,11.2559,31.7942,14.4026,11.9176,13.9550,24.5721,-88.1939,-11.4115,-53.3435
375.0000,25.3999,19.4988,-31.1095,-0.7579,-20.0394,25.5154,12.1802,10.7211,32.2491,13.9263,11.4185,14.6720,25.6889,-94.4417,-11.4376,-52.7698
382.8125,25.9975,20.2360,-30.5178,-0.7016,-20.6210,25.4387,14.6552,11.1666,32.8981,13.6653,11.0902,15.0238,26.0232,-98.0091,-11.9674,-51.8384
390.6250,26.4840,20.9025,-30.2209,-1.6866,-20.9610,25.8961,16.6225,11.2726,33.4490,12.7309,10.8423,15.9857,26.6469,-100.3542,-12.0260,-52.4074
398.4375,27.0748,21.3816,-29.7642,-1.2227,-21.3098,26.2281,18.5757,11.2997,33.9256,12.5305,10.2927,16.3700,27.4578,-106.1159,-12.4214,-51.4617
