Time,Cz,Fz,Fp1,F7,F3,C3,P3,O1,Pz,Oz,O2,P4,C4,F4,F8,Fp2
0.0000,3.9848,7.9886,-0.1647,-4.6281,-0.6577,3.2486,-1.8297,-1.3107,1.6505,-4.7626,-0.9137,-1.2397,-1.2209,3.8113,4.2100,0.2753
7.8125,4.4151,8.3025,0.0986,-1.1311,1.6918,4.1114,-2.3415,-3.1583,-1.2865,-7.2405,-3.0815,-2.4378,1.4874,5.3528,5.1338,0.6785
15.6250,7.1030,4.7349,-4.1788,-6.0896,-3.8399,-1.1696,-1.4581,-1.5024,1.9121,-4.6442,0.3974,2.9929,9.1141,3.3659,3.1193,1.7421
23.4375,9.3099,2.7048,-7.7007,-14.8852,-6.7169,-2.0199,-0.6743,-0.0505,6.6914,-4.4509,4.3265,10.4549,9.9057,2.3587,1.0232,0.4974
31.2500,8.9450,3.1892,-4.7211,-12.7037,0.1268,3.2993,0.8825,-0.6207,4.9725,-7.2242,1.6688,6.5723,4.3020,2.8799,1.8713,-1.4969
39.0625,7.5713,2.4125,-0.8632,-7.8848,1.8336,2.4738,0.5060,-0.3578,2.8508,-5.2856,-0.4914,-0.8490,5.9975,1.9576,2.5500,-0.8511
46.8750,3.9690,2.6545,-0.6904,-9.1899,-1.8134,-1.1841,-5.2513,-2.0390,2.2377,-3.9866,0.3433,-0.1246,8.9226,4.8634,4.8294,0.9176
54.6875,1.8173,2.8670,0.1975,-7.2783,0.2620,0.1536,-8.5415,-5.1894,-1.1436,-6.8800,-1.0883,1.8740,3.9986,9.6931,7.3813,2.1531
62.5000,6.2681,-2.7667,-0.0489,-4.3061,2.0006,2.3061,-3.6499,-3.0460,-0.7634,-5.1903,-0.9846,1.8478,1.1062,5.8390,3.1498,3.1707
70.3125,8.3467,-7.1116,-0.4645,-5.6877,1.4048,3.4416,-0.8792,0.0915,2.9130,-1.2290,0.8085,0.9559,0.4083,-1.7524,-1.3901,5.1144
78.1250,3.8399,-7.5725,2.8359,-2.8620,2.5300,3.2666,-3.0348,-1.4003,1.5460,-0.5802,-1.0582,-2.4400,-3.5939,-2.0636,2.8227,5.4619
85.9375,3.0295,-10.6942,3.2147,1.2817,0.6990,1.0779,-2.7164,-2.5227,-0.3397,-0.0557,-2.3759,-2.7422,-2.1150,0.8846,6.8416,3.0440
93.7500,6.6125,-11.6993,1.8102,-0.5536,-0.2049,2.7423,-3.8401,-3.1517,-0.5524,-1.4638,-2.1572,-1.4812,3.2835,0.6841,4.8298,5.2112
101.5625,9.0181,-8.9182,2.3240,-1.0340,1.7485,6.7886,-5.1267,-4.3484,-1.7731,-3.9806,-3.7054,-3.7721,4.4266,-1.1965,4.9129,6.2364
109.3750,8.1740,-11.5591,-0.2834,1.1729,-2.0063,4.6190,0.8030,-3.8255,0.3057,-4.5507,-4.7660,-2.3558,6.5540,0.3994,9.0658,0.5636
117.1875,3.4325,-13.7420,-4.4113,-0.6447,-6.0263,1.3199,4.9982,-3.5804,2.8841,-6.1131,-4.7931,0.9601,8.6754,6.1082,11.2813,-0.4213
